pair_id,condition,subject,confidence,bn_context,banglish_context,bn_question,banglish_question,bn_correct_answer,banglish_correct_answer,bn_wrong_answer,banglish_wrong_answer,hallucination_type_guess,source_original_pair_id,reviewer_status,reviewer_notes
pilot_000010,has_context,history,low,দক্ষিণ এশীয় আঞ্চলিক সহযোগিতা সংস্থা (সার্ক) ১৯৮৫ সালের ৮ই ডিসেম্বর বাংলাদেশের রাজধানী ঢাকায় প্রতিষ্ঠিত হয়।,dokshino eshiyo ancholiko sohojogita songstha (sarko) 1985 saler 8i disemboro bangladesher rajdhani dhakayo protishthito hoy.,সার্ক কবে ও কোথায় প্রতিষ্ঠিত হয়?,sarko kobe o kothay protishthito hoy?,১৯৮৫ সালের ৮ই ডিসেম্বর বাংলাদেশের রাজধানী ঢাকায়।,1985 saler 8i disemboro bangladesher rajdhani dhakayo.,১৯৮৩ সালের ৮ই ডিসেম্বর নেপালের কাঠমান্ডুতে।,1983 shaler 8i disemboro nepalero kathomandute.,numeric,bnp_000617,,
pilot_000011,has_context,reading_comprehension,low,"১৯৫৮ সালে, একটি বছর সাদ্দাম পর বাথ পার্টি যোগদান করেন, সেনা অফিসারদের সাধারণ আব্দ আল করিম কাসেমের নেতৃত্বে ইরাকে দ্বিতীয় ফয়সাল ১৪ জুলাই বিপ্লবে ধ্বংস করে দিলেন.","1958 sale, ekta bosor saddamo poro batho parti jogodano koren, sena ofisarodero sadharono abdo alo korimo kasemero netritbe irake dbitiyo foyosalo 14 julai biplobe dhbongso kore dileno.",সাদ্দাম হোসেন আবদুল মাজিদ আল তিকরিতি কোন রাজনৈতিক দলের নেতা ছিলেন ?,saddamo hoseno abodulo majido alo tikoriti kon rajonoitiko dolero neta chhileno ?,বাথ পার্টি,batho parti,বাথ ফয়সাল,batho foyosalo,relational,bnp_000665,,
pilot_000012,has_context,history,low,"তিনি ১৯৯৭ - ১৯৯৮ সালের জন্য ভারতের খেলাধুলার সর্বোচ্চ পুরস্কার রাজীব গান্ধী খেলরত্ন পুরস্কার এবং ১৯৯৯ সালে পদ্মশ্রী পুরস্কার অর্জন করেন। ২০০৮ খ্রিষ্টাব্দে তাঁকে ভারতের দ্বিতীয় সর্বোচ্চ পুরস্কার পদ্মভূষণ প্রদান করা হয়। ২০১০ খ্রিষ্টাব্দে আইসিসির পক্ষ থেকে শচীনকে বর্ষসেরা ক্রিকেটার হিসেবে স্যার গারফিল্ড সোবার্স ট্রফি প্রদান করে।[18] ২০১২ খ্রিষ্টাব্দে তিনি রাজ্যসভার সদস্য মনোনীত হন।[19] শচীন প্রথম ভারতীয় খেলোয়াড়, যাকে ভারতীয় বিমানবাহিনী মর্যাদাসূচক ক্যাপ্টেন পদ প্রদান করে।","tini 1997 - 1998 saler jonno bharoter kheladhularo sorbochcho puroskaro rajibo gandhi khelorotno puroskaro ebng 1999 sale podmoshri puroskaro orjono korn. 2008 khrishtabde take indian dbitiyo sorbochcho puroskaro podmobhushono prodano kora hoy. 2010 khrishtabde aisisiro poksho theke shochinoke borshosera kriketaro hisebe sjaro garofildo sobarso trofi prodano kore.[18] 2012 khrishtabde tini rajjosobharo sodosjo mononito hono.[19] shochino prothom bharotiyo kheloyaro, jake bharotiyo bimanobahini morjadasuchoko kjapteno podo prodano kore.",শচীন তেন্ডুলকার কত সালে পদ্মভূষণ পুরস্কার পান ?,shochino tendulokaro koto sale podmobhushono puroskaro pano ?,২০০৮ সালে তিনি পদ্মভূষণ লাভ করেন।,2008 sale tini podmobhushono labho koren.,২০০৭ সালে তিনি পদ্মভূষণ লাভ করেন।,2007 shale tini podmobhushono labho koren.,numeric,bnp_000762,,
pilot_000013,has_context,history,low,"স্টডার্টের ১৮৯৭/৯৮ সালের অস্ট্রেলিয়া সফরের পাঁচটি টেস্টের মধ্যে চারটিতে ওয়েনরাইট খেলেছিলেন, কিন্তু সফরের কিছুদিনের মধ্যেই তিনি বুঝতে পারেন যে তার অফ স্পিনে টার্ন কমে যাচ্ছে। বোলারের চেয়ে ব্যাটসম্যান হিসেবে ওয়েনরাইট বেশি ভালো ছিলেন। তাঁর সেরা ইনিংসগুলোর মধ্যে অন্যতম ছিল ১৯০০ সালে কেন্টের বিপক্ষে ম্যাচ জেতানো ১১৬ রানের ইনিংসটি।","stodartero 1897/98 shaler ostreliya soforero pachoti testero modhye charotite oyenoraito khelechhileno, kintu soforero kichhudinero modhjei tini bujhote pareno je tar ofo spine tarno kome jachchhe. bolarero cheye bjatosomjano hisebe oyenoraito beshi bhalo chhileno. taro sera iningsoguloro modhye onjotomo chilo 1900 sale kentero bipokshe mjacho jetano 116 ranero iningsoti.",১৮৯৭/৯৮ সালের অস্ট্রেলিয়া সফরে কোন অধিনায়কের নেতৃত্বে ইংল্যান্ড দল যায়?,1897/98 shaler ostreliya sofore kon odhinayokero netritbe ingljando dolo jayo?,স্টডার্টের নেতৃত্বে,stodartero netritbe,স্টডার্টের নেতৃত্ভে,stodartero netritbhe,relational,bnp_000774,,
pilot_000014,has_context,law,low,নিরীক্ষা কার্য যথাযথভাবে পরিচালনার জন্য তিনি যেরূপ আবশ্যক বলিয়া বিবেচনা করিবেন সেইরূপ কোন তথ্য তাহার সম্মুখে উপস্থাপন কিংবা লিখিতভাবে সরবরাহ করিবার জন্য চেয়ারম্যানকে অনুরোধ করিতে পারিবেন।,niriksha karjo jothajothobhabe porichalonaro jnno tini jerupo aboshjoko boliya bibechona koribeno seirupo kon tothjo taharo sommukhe uposthapono kingba likhitobhabe soroboraho koribaro jonno cheyaromjanoke onurodho korite paribeno.,"প্রদত্ত প্রসঙ্গ অনুযায়ী স্থানীয় সরকার (ইউনিয়ন পরিষদ) আইন, ২০০৯-এর ধারা ৬০ সম্পর্কে কী বলা হয়েছে?","prodotto prosngo onujayi sthaniyo shorkar (iuniyono porishodo) ain, 2009-er dhara 60 somporke kii bola hoise?",নিরীক্ষা কার্য যথাযথভাবে পরিচালনার জন্য তিনি যেরূপ আবশ্যক বলিয়া বিবেচনা করিবেন সেইরূপ কোন তথ্য তাহার সম্মুখে উপস্থাপন কিংবা লিখিতভাবে সরবরাহ করিবার জন্য চেয়ারম্যানকে অনুরোধ করিতে পারিবেন।,niriksha karjo jothajothobhabe porichalonaro jonno tini jerupo aboshjoko boliya bibechona koribeno seirupo kon tothjo taharo sommukhe uposthapono kingba likhitobhabe soroboraho koribaro jonno cheyaromjanoke onurodho korite paribeno.,নিরীক্ষা কার্য যথাযথভাবে পরিচালনার জন্য তিনি যেরূপ আবশ্যক বলিয়া বিবেচনা করিবেন সেইরূপ কোন তথ্য তাহার সম্মুখে উপস্থাপন কিংবা লিখিতভাবে সরবরাহ করিবার জন্য সদস্যকে অনুরোধ করিতে পারিবেন।,niriksha karjo jothajothobhabe porichalonaro jnno tini jerupo aboshjoko boliya bibechona koribeno seirupo kon tothjo taharo sommukhe uposthapono kingba likhitobhabe soroboraho koribaro jnno sodosjoke onurodho korite paribeno.,relational,bnp_000914,,
pilot_000015,has_context,reading_comprehension,low,"আঞ্জেল ডোলা আকোফা আগুইগাহ (জন্ম ৪ ডিসেম্বর ১৯৫৫) একজন টোগোলোজ প্রত্নতাত্ত্বিক এবং রাজনীতিবিদ। তিনি টোগো-র প্রথম নারী প্রত্নতাত্ত্বিক ছিলেন এবং ২০১৭ সালে তাকে ""টোগোর জীবন্ত মানব সম্পদ"" সম্মানে ভূষিত করা হয়।","anjelo dola akofa aguigaho (jonmo 4 disemboro 1955) ekojono togolojo protnotattbiko ebng rajonitibido. tini togo-ro prothom nari protnotattbiko chhileno ebng 2017 shale take ""togoro jibonto manobo sompodo"" sommane bhushito kora hoi.",আঞ্জেল আগুইগাহ কবে জন্মগ্রহণ করেন?,anjelo aguigaho kobe jonmogrohono koren?,আঞ্জেল ডোলা আকোফা আগুইগাহ (জন্ম ৪ ডিসেম্বর ১৯৫৫) একজন টোগোলোজ প্রত্নতাত্ত্বিক এবং রাজনীতিবিদ।,anjelo dola akofa aguigaho (jonmo 4 disemboro 1955) ekojono togolojo protnotattbiko ebng rajonitibido.,৪ ডিসেম্বর ২০১৭,4 disemboro 2017,numeric,bnp_000931,,
pilot_000016,has_context,history,low,২০২৩-বর্তমান: ইংল্যান্ডের বিপক্ষে তৃতীয় ওডিআই ম্যাচে তিনি এক দিনের আন্তর্জাতিক ক্রিকেটে প্রথম বাংলাদেশী বোলার এবং সামগ্রিকভাবে ১৪তম বোলার হিসেবে ৩০০ উইকেট শিকারি হন। ১৮ই মার্চ আয়ারল্যান্ডের বিপক্ষে প্রথম ওডিআইয়ে ৯৩ রান করেন এবং সনাথ জয়াসুরিয়া ও শহীদ আফ্রিদির পর তৃতীয় ক্রিকেটার হিসেবে ৭০০০ রান ও ৩০০ উইকেট শিকারি হন।,2023-bortomano: ingljandero bipokshe tritiyo odiai mjache tini eko dinero antorjatiko krikete prthom bangladeshi bolaro ebng samogrikobhabe 14tomo bolaro hisebe 300 uiketo shikari hono. 18i marcho ayaroljandero bipokshe prothom odiaiye 93 rano koren ebong sonatho joyasuriya o shohido afridiro poro tritiyo kriketaro hisebe 7000 rano o 300 uiketo shikari hono.,সাকিব ছাড়া আর কোন দুই ক্রিকেটার ৭০০০ রান ও ৩০০ উইকেটের মাইলফলক স্পর্শ করেছেন?,sakibo chhara aro kon dui kriketaro 7000 rano o 300 uiketero mailofoloko sporsho korechheno?,সনাথ জয়াসুরিয়া ও শহীদ আফ্রিদি,sonatho joyasuriya o shohido afridi,সনাথ জয়াসুরিয়া ও শহীদ আফ্রিদী,sonatho joyasuriya o shohido afridi,relational,bnp_001061,,
pilot_000017,has_context,reading_comprehension,low,"৯ মে, ১৯৮৭ সালে চলচ্চিত্র অভিনেত্রী মিমি রজার্সকে বিয়ে করেন তিনি। পরবর্তীতে ৪ ফেব্রুয়ারি, ১৯৯০ সালে তাদের মধ্যে বিবাহ-বিচ্ছেদ ঘটে।[11] ডেজ অব থান্ডার চলচ্চিত্রের সেটে ক্রুজের সাথে নিকোল কিডম্যানের প্রথম দেখা হয়। তারা ১৯৯০ সালের ২৪ ডিসেম্বর বিয়ে করেন। এ সংসারে ইসাবেলা জেন (জন্মঃ ডিসেম্বর, ১৯৯২) এবং কনর এন্টনী (জন্মঃ জানুয়ারি, ১৯৯৫) নামের দুই সন্তান রয়েছে।[11]২০০১ সালে তাদের বিচ্ছেদ হয়ে যায়। ভ্যানিলা স্কাই চলচ্চিত্রে অভিনয়ের সময় অভিনেত্রী পেনেলোপি ক্রুজের সাথে প্রেমের সম্পর্কে আবদ্ধ হন। তিন বছরের সম্পর্কটি ২০০৪ সালে ভেঙ্গে যায়।[12]","9 me, 1987 shale cholochchitro obhinetri mimi rojarsoke biye korn tini. porobortite 4 februyari, 1990 sale tader moddhe bibaho-bichchhedo ghote.[11] dejo obo thandaro cholochchitrero sete krujero sathe nikolo kidomjanero prothom dekha hoy. tara 1990 shaler 24 disemboro biye korn. e songsare isabela jeno (jonmoh disemboro, 1992) ebong konoro entoni (jonmoh januyari, 1995) namero dui sontano royeche.[11]2001 shale tader bichchhedo hoye jayo. bhjanila skai cholochchitre obhinoyero somoyo obhinetri penelopi krujero sathe premero somporke aboddho hono. tino bochhorero somporkoti 2004 sale bhengge jayo.[12]",টম ক্রুজের প্রথম স্ত্রীর নাম কী ?,tomo krujero prothom striro naam kii ?,মিমি রজার্স,mimi rojarso,মিমি এন্টনী,mimi entoni,relational,bnp_001072,,
pilot_000018,no_context,vocabulary,low,,,"""ঢিল দিয়ে ঢিল টানা"" এর শাব্দিক অর্থ কী?","""dhilo diye dhilo tana"" er shabdiko ortho ki?",পাথর দিয়ে পাথর ছুড়ে মারা,pathoro diye pathoro chhure mara,পোড়া বা জ্বলনের অনুভূতি,pora ba jbolonero onubhuti,fabricated,bnp_001077,,
pilot_000019,has_context,reading_comprehension,low,"আশির দশকের প্রারম্ভে ব্যান্ডটি ভেঙে যাবার পর সদস্যরা বিভিন্ন কর্মজীবনে মনোনিবেশ দেয়। গৌতম চট্টোপাধ্যায় কলকাতায় চলচ্চিত্র নিয়ে ব্যস্ত হয়ে পড়েন, বিশ্বনাথ চট্টোপাধ্যায় পাড়ি জমান সান ফ্রান্সিসকোতে, প্রদীপ চট্টোপাধ্যায় তার প্রকৌশলী জীবনে মনোযোগ দেন, রঞ্জন ঘোষাল বেঙ্গালুরুতে বিঞ্জাপন আর থিয়েটারে যুক্ত হয়ে পড়েন, এব্রাহাম মজুমদার জার্মানিতে মিউজিক স্কুল চালু করেন, তাপস দাস কলকাতায় চলচ্চিত্র ও প্রামাণ্যচিত্র নিয়ে কাজ শুরু করেন আর তপেশ বন্দ্যোপাধ্যায় যোগ দেন তার কর্মজীবনে।[6]","ashiro doshokero prarombhe bjandoti bhenge jabaro poro sodosjora bibhinno kormojibone mononibesho deyo. goutomo chottopadhjayo kolokatayo cholochchitro niye bjosto hoye poreno, bishbonatho chottopadhjayo pari jomano sano fransisokote, prodipo chottopadhjayo tar prokousholi jibone monojogo deno, ronjono ghoshalo benggalurute binjapono aro thiyetare jukto hoye poreno, ebrahamo mojumodaro jarmanite miujiko skulo chalu koren, taposo daso kolokatayo cholochchitro o pramanjochitro niye kajo shuru koren aro topesho bondjopadhjayo jogo deno tar kormojibone.[6]",মহীনের ঘোড়াগুলি ব্যান্ডটি কবে ভেঙে যায় ?,mohinero ghoraguli bjandoti kobe bhenge jayo ?,আশির দশকের প্রারম্ভে,ashiro doshokero prarombhe,আশির দশকের কর্মজীবনে,ashiro doshokero kormojibone,relational,bnp_001112,,
pilot_000020,has_context,reading_comprehension,low,খাদিজা বিনতে খুওয়াইলিদ (Arabic: خديجة بنت خويلد‎) হলেন ইসলাম গ্রহণকারী প্রথম ব্যক্তি এবং এই মহাবিশ্বের সর্বশেষ নবী মুহাম্মদ (স.) এর প্রথম স্ত্রী।[1] তার কুনিয়া উম্মু হিন্দ এবং উপাধি তাহিরা। ইসলামের গ্রহণের আগেই পবিত্র চরিত্রের জন্য তাহিরা উপাধি লাভ করেন; যার অর্থ পবিত্র।[2],khadija binote khuoyailido (arabic: خديجة بنت خويلد‎) holeno isolamo grohonokari prothom bjokti ebong ei mohabishbero sorboshesho nobi muhammodo (so.) er prothom stri.[1] tar kuniya ummu hindo ebng upadhi tahira. isolamero grohonero agei pobitro choritrero jnno tahira upadhi labho koren; jaro orth pobitro.[2],নবী মুহাম্মদের প্রথম স্ত্রীর নাম কী ?,nobi muhammodero prothom striro nam ki ?,খাদিজা বিনতে খুওয়াইলিদ,khadija binote khuoyailido,খাদিজা বিনতে মহাবিশ্বের,khadija binote mohabishbero,relational,bnp_001258,,
pilot_000021,has_context,reading_comprehension,low,"“ভাগোয়া বা গেরুয়া রঙ ত্যাগ ও বৈরাগ্যের প্রতীক। আমাদের নেতৃবৃন্দকে পার্থিব লাভের প্রতি উদাসীন ও আপন আপন কাজে যত্নবান হইতে হইবে। মধ্যস্থলে সাদা আমাদের আত্মনিয়ন্ত্রণ ও স্বভাবের পথপ্রদর্শক সত্যপথ আলোর প্রতীক। সবুজ মৃত্তিকা তথা সকল প্রাণের প্রাণ উদ্ভিজ্জ জগতের সহিত আমাদের সম্বন্ধটি ব্যক্ত করিতেছে। সাদা অংশের কেন্দ্রস্থলে অশোকচক্র ধর্ম অনুশাসনের প্রতীক। সত্য ও ধর্ম এই পতাকাতলে কর্মরত সকলের নিয়ন্ত্রণনীতি হইবে। এতদ্ভিন্ন, চক্রটি গতিরও প্রতীক। স্থবিরতায় আসে মৃত্যু। জীবন গতিরই মধ্যে। পরিবর্তনকে বাধাদান ভারতের আর উচিত হইবে না, তাহাকে সম্মুখে অগ্রসর হইতে হইবেই। এই চক্রটি শান্তিপূর্ণ পরিবর্তনের গতিশীলতার প্রতীক।[10]”","“bhagoya ba geruya rongo tjago o boiragjero protiko. amadero netribrindoke parthibo labhero proti udasino o apono apono kaje jotnobano hoite hoibe. modhjosthole sada amadero atmoniyontrono o sbobhabero pothoprodorshoko sotjopotho aloro protiko. sobujo mrittika totha sokolo pranero prano udbhijjo jogotero sohito amadero sombondhoti bjokto koritechhe. sada ongshero kendrosthole oshokochokro dhormo onushasonero protiko. sotjo o dhormo ei potakatole kormoroto sokolero niyontrononiti hoibe. etodbhinno, chokroti gotiroo protiko. sthobirotayo ase mritju. jibono gotiroi moddhe. poribortonoke badhadano bharoter aro uchito hoibe na, tahake sommukhe ogrosoro hoite hoibei. ei chokroti shantipurno poribortonero gotishilotaro protiko.[10]”",ভারতীয় জাতীয় পতাকার গেরুয়া রংটি কিসের প্রতীক ?,bharotiyo jatio potakaro geruya rongti kisero protiko ?,ত্যাগ ও বৈরাগ্যের,tjago o boiragjero,ত্যাগ ও অনুশাসনের,tjago o onushasonero,relational,bnp_001365,,
pilot_000022,has_context,others,low,কুমিল্লা মডার্ণ হাই স্কুল ১৯৯৩ সালে প্রতিষ্ঠিত। ব্যবহৃত তথ্যসূত্রে বিদ্যালয়টির শিক্ষার্থীসংখ্যা প্রায় ৪৫০০ বলে উল্লেখ আছে।,kumilla modarno hai skulo 1993 sale protishthito. bjobohrito tothjosutre bidjaloyotiro shiksharthisongkhja prayo 4500 bole ullekho asche.,কুমিল্লা মডার্ণ হাই স্কুলের বর্তমান শিক্ষার্থীর সংখ্যা কত ?,kumilla modarno hai skulero bortomano shiksharthiro songkhya koto ?,প্রায় ৪৫০০ জন।,prayo 4500 jon.,প্রায় ৪০০০ জন।,prayo 4000 jon.,numeric,bnp_001389,,
