item_id,split,record_id,pair_id,subject,condition,difficulty,existing_label,prefilled,blind_check
test_0053,test,bnp_002834_0,bnp_002834,law,no_context,hard,1,no,no
test_0054,test,bnp_007861_1,bnp_007861,idiom_meaning,no_context,easy,0,no,no
test_0055,test,bnp_001560_0,bnp_001560,mathematics,no_context,easy,1,no,no
test_0056,test,bnp_001246_1,bnp_001246,law,no_context,hard,0,no,no
test_0057,test,bnp_012530_0,bnp_012530,reading_comprehension,has_context,easy,1,no,no
test_0058,test,bnp_006126_0,bnp_006126,mathematics,no_context,easy,1,no,no
test_0059,test,bnp_012154_0,bnp_012154,law,has_context,hard,1,no,no
test_0060,test,bnp_015910_0,bnp_015910,idiom_meaning,no_context,easy,1,no,no
test_0061,test,bnp_028614_1,bnp_028614,history,has_context,easy,0,no,no
test_0062,test,bnp_010542_0,bnp_010542,history,has_context,easy,1,no,no
test_0063,test,bnp_030401_0,bnp_030401,reading_comprehension,has_context,easy,1,no,no
test_0064,test,bnp_024825_0,bnp_024825,reading_comprehension,has_context,easy,1,no,no
test_0065,test,bnp_002555_1,bnp_002555,mathematics,no_context,easy,0,no,no
test_0066,test,bnp_028004_1,bnp_028004,reading_comprehension,has_context,easy,0,no,no
test_0067,test,bnp_008651_0,bnp_008651,grammar,has_context,hard,1,no,no
test_0068,test,bnp_031690_1,bnp_031690,mathematics,no_context,easy,0,no,no
test_0069,test,bnp_030715_1,bnp_030715,literature,no_context,easy,0,no,no
test_0070,test,bnp_002079_1,bnp_002079,law,has_context,easy,0,no,no
test_0071,test,bnp_017184_1,bnp_017184,history,has_context,hard,0,no,no
test_0072,test,bnp_008001_0,bnp_008001,synonym,no_context,easy,1,no,no
test_0073,test,bnp_010080_1,bnp_010080,reading_comprehension,has_context,easy,0,no,no
test_0074,test,bnp_015124_0,bnp_015124,science,no_context,easy,1,no,no
test_0075,test,bnp_017963_1,bnp_017963,reading_comprehension,has_context,easy,0,no,no
test_0076,test,bnp_030662_1,bnp_030662,idiom_meaning,no_context,easy,0,no,no
test_0077,test,bnp_017139_0,bnp_017139,history,has_context,hard,1,no,no
test_0078,test,bnp_006283_1,bnp_006283,bcs,no_context,easy,0,no,no
test_0079,test,bnp_009443_1,bnp_009443,history,no_context,easy,0,no,no
test_0080,test,bnp_009456_1,bnp_009456,history,has_context,easy,0,no,no
test_0081,test,bnp_008561_0,bnp_008561,law,has_context,hard,1,no,no
test_0082,test,bnp_028991_1,bnp_028991,reading_comprehension,has_context,easy,0,no,no
test_0083,test,bnp_025644_1,bnp_025644,literature,no_context,hard,0,no,no
test_0084,test,bnp_003215_0,bnp_003215,history,has_context,easy,1,no,no
test_0085,test,bnp_019444_0,bnp_019444,reading_comprehension,has_context,easy,1,no,no
test_0086,test,bnp_004289_0,bnp_004289,literature,no_context,hard,1,no,no
test_0087,test,bnp_007624_1,bnp_007624,reading_comprehension,has_context,easy,0,no,no
test_0088,test,bnp_024408_1,bnp_024408,reading_comprehension,has_context,easy,0,no,no
test_0089,test,bnp_031813_1,bnp_031813,reading_comprehension,has_context,easy,0,no,no
test_0090,test,bnp_022845_1,bnp_022845,literature,no_context,easy,0,no,no
test_0091,test,bnp_021499_0,bnp_021499,law,has_context,hard,1,no,no
test_0092,test,bnp_006334_1,bnp_006334,mathematics,no_context,easy,0,no,no
test_0093,test,bnp_003409_0,bnp_003409,antonym,no_context,easy,1,no,no
test_0094,test,bnp_019856_0,bnp_019856,bcs,no_context,easy,1,no,no
test_0095,test,bnp_001998_0,bnp_001998,reading_comprehension,has_context,easy,1,no,no
test_0096,test,bnp_015739_1,bnp_015739,literature,no_context,easy,0,no,no
test_0097,test,bnp_003324_0,bnp_003324,grammar,no_context,hard,1,no,no
test_0098,test,bnp_006382_1,bnp_006382,history,has_context,easy,0,no,no
test_0099,test,bnp_007319_1,bnp_007319,reading_comprehension,has_context,easy,0,no,no
test_0100,test,bnp_005580_1,bnp_005580,history,has_context,hard,0,no,no
test_0101,test,bnp_005047_0,bnp_005047,reading_comprehension,has_context,hard,1,no,no
test_0102,test,bnp_005919_1,bnp_005919,history,has_context,hard,0,no,no
test_0103,test,bnp_028715_1,bnp_028715,reading_comprehension,has_context,hard,0,no,no
test_0104,test,bnp_016528_1,bnp_016528,reading_comprehension,has_context,easy,0,no,no
test_0105,test,bnp_021163_0,bnp_021163,grammar,no_context,easy,1,no,no
test_0106,test,bnp_026025_0,bnp_026025,others,has_context,easy,1,no,no
test_0107,test,bnp_004986_1,bnp_004986,history,has_context,easy,0,no,no
test_0108,test,bnp_003648_1,bnp_003648,literature,no_context,easy,0,no,no
test_0109,test,bnp_010106_1,bnp_010106,mathematics,no_context,hard,0,no,no
test_0110,test,bnp_020157_0,bnp_020157,science,no_context,easy,1,no,no
test_0111,test,bnp_010362_0,bnp_010362,reading_comprehension,has_context,easy,1,no,no
test_0112,test,bnp_029089_1,bnp_029089,idiom_meaning,no_context,easy,0,no,no
test_0113,test,bnp_022828_1,bnp_022828,bcs,no_context,hard,0,no,no
test_0114,test,bnp_029535_0,bnp_029535,history,has_context,hard,1,no,no
test_0115,test,bnp_011634_1,bnp_011634,history,has_context,hard,0,no,no
test_0116,test,bnp_021617_1,bnp_021617,reading_comprehension,has_context,easy,0,no,no
test_0117,test,bnp_025365_1,bnp_025365,history,has_context,hard,0,no,no
test_0118,test,bnp_029135_1,bnp_029135,reading_comprehension,has_context,easy,0,no,no
test_0119,test,bnp_024306_0,bnp_024306,reading_comprehension,has_context,easy,1,no,no
test_0120,test,bnp_010141_1,bnp_010141,vocabulary,no_context,easy,0,no,no
test_0121,test,bnp_013198_1,bnp_013198,others,has_context,easy,0,no,no
test_0122,test,bnp_014813_0,bnp_014813,history,has_context,hard,1,no,no
test_0123,test,bnp_004079_0,bnp_004079,history,has_context,easy,1,no,no
test_0124,test,bnp_015420_1,bnp_015420,mathematics,no_context,hard,0,no,no
test_0125,test,bnp_000739_1,bnp_000739,grammar,has_context,hard,0,no,no
test_0126,test,bnp_018890_0,bnp_018890,others,has_context,hard,1,no,no
test_0127,test,bnp_006035_1,bnp_006035,reading_comprehension,has_context,easy,0,no,no
test_0128,test,bnp_010875_1,bnp_010875,reading_comprehension,has_context,easy,0,no,no
test_0129,test,bnp_010759_0,bnp_010759,history,has_context,hard,1,no,no
test_0130,test,bnp_025423_0,bnp_025423,literature,no_context,easy,1,no,no
test_0131,test,bnp_000275_0,bnp_000275,literature,no_context,hard,1,no,no
test_0132,test,bnp_018168_1,bnp_018168,reading_comprehension,has_context,easy,0,no,no
test_0133,test,bnp_031451_1,bnp_031451,antonym,no_context,easy,0,no,no
test_0134,test,bnp_023996_0,bnp_023996,reading_comprehension,has_context,easy,1,no,no
test_0135,test,bnp_012642_0,bnp_012642,reading_comprehension,has_context,easy,1,no,no
test_0136,test,bnp_013696_1,bnp_013696,reading_comprehension,has_context,easy,0,no,no
test_0137,test,bnp_002370_1,bnp_002370,mathematics,no_context,easy,0,no,no
test_0138,test,bnp_021791_0,bnp_021791,mathematics,no_context,easy,1,no,no
test_0139,test,bnp_030424_0,bnp_030424,reading_comprehension,has_context,easy,1,no,no
test_0140,test,bnp_011673_1,bnp_011673,idiom_meaning,no_context,easy,0,no,no
test_0141,test,bnp_002782_0,bnp_002782,history,has_context,easy,1,no,no
test_0142,test,bnp_024096_0,bnp_024096,reading_comprehension,has_context,easy,1,no,no
test_0143,test,bnp_019849_1,bnp_019849,reading_comprehension,has_context,hard,0,no,no
test_0144,test,bnp_013496_0,bnp_013496,grammar,no_context,hard,1,no,no
test_0145,test,bnp_012692_1,bnp_012692,reading_comprehension,has_context,easy,0,no,no
test_0146,test,bnp_018087_1,bnp_018087,reading_comprehension,has_context,easy,0,no,no
test_0147,test,bnp_008141_0,bnp_008141,bcs,no_context,hard,1,no,no
test_0148,test,bnp_011186_1,bnp_011186,reading_comprehension,has_context,easy,0,no,no
test_0149,test,bnp_029660_1,bnp_029660,history,has_context,hard,0,no,no
test_0150,test,bnp_012519_0,bnp_012519,mathematics,no_context,easy,1,no,no
test_0151,test,bnp_021693_1,bnp_021693,grammar,no_context,hard,0,no,no
test_0152,test,bnp_004851_0,bnp_004851,science,no_context,easy,1,no,no
test_0153,test,bnp_028142_1,bnp_028142,reading_comprehension,has_context,easy,0,no,no
test_0154,test,bnp_023267_1,bnp_023267,science,no_context,easy,0,no,no
test_0155,test,bnp_023269_1,bnp_023269,science,no_context,easy,0,no,no
test_0156,test,bnp_016086_1,bnp_016086,reading_comprehension,has_context,easy,0,no,no
test_0157,test,bnp_015617_0,bnp_015617,antonym,no_context,easy,1,no,no
test_0158,test,bnp_030156_1,bnp_030156,reading_comprehension,has_context,easy,0,no,no
test_0159,test,bnp_014514_1,bnp_014514,history,has_context,easy,0,no,no
test_0160,test,bnp_021361_1,bnp_021361,history,has_context,easy,0,no,no
test_0161,test,bnp_009025_0,bnp_009025,mathematics,no_context,easy,1,no,no
test_0162,test,bnp_000928_0,bnp_000928,bcs,no_context,easy,1,no,no
test_0163,test,bnp_012139_0,bnp_012139,reading_comprehension,has_context,easy,1,no,no
test_0164,test,bnp_004636_0,bnp_004636,grammar,no_context,easy,1,no,no
test_0165,test,bnp_013733_1,bnp_013733,reading_comprehension,has_context,easy,0,no,no
test_0166,test,bnp_004003_0,bnp_004003,literature,no_context,easy,1,no,no
test_0167,test,bnp_002120_1,bnp_002120,literature,no_context,easy,0,no,no
test_0168,test,bnp_024533_1,bnp_024533,history,has_context,easy,0,no,no
test_0169,test,bnp_025160_1,bnp_025160,law,has_context,easy,0,no,no
test_0170,test,bnp_007089_1,bnp_007089,grammar,no_context,hard,0,no,no
test_0171,test,bnp_017897_1,bnp_017897,synonym,no_context,easy,0,no,no
test_0172,test,bnp_006853_1,bnp_006853,reading_comprehension,has_context,hard,0,no,no
test_0173,test,bnp_022106_0,bnp_022106,reading_comprehension,has_context,easy,1,no,no
test_0174,test,bnp_004396_1,bnp_004396,law,has_context,hard,0,no,no
test_0175,test,bnp_027444_0,bnp_027444,law,no_context,easy,1,no,no
test_0176,test,bnp_004016_0,bnp_004016,grammar,has_context,hard,1,no,no
test_0177,test,bnp_022969_1,bnp_022969,science,no_context,easy,0,no,no
test_0178,test,bnp_022697_0,bnp_022697,law,has_context,hard,1,no,no
test_0179,test,bnp_025929_0,bnp_025929,idiom_meaning,no_context,easy,1,no,no
test_0180,test,bnp_028005_0,bnp_028005,literature,no_context,hard,1,no,no
test_0181,test,bnp_023629_0,bnp_023629,history,has_context,easy,1,no,no
test_0182,test,bnp_024468_1,bnp_024468,reading_comprehension,has_context,easy,0,no,no
test_0183,test,bnp_018370_0,bnp_018370,history,no_context,hard,1,no,no
test_0184,test,bnp_016051_1,bnp_016051,bcs,no_context,easy,0,no,no
test_0185,test,bnp_006790_0,bnp_006790,reading_comprehension,has_context,easy,1,no,no
test_0186,test,bnp_024426_1,bnp_024426,history,has_context,easy,0,no,no
test_0187,test,bnp_028065_0,bnp_028065,reading_comprehension,has_context,easy,1,no,no
test_0188,test,bnp_003785_0,bnp_003785,grammar,no_context,easy,1,no,no
test_0189,test,bnp_006392_0,bnp_006392,reading_comprehension,has_context,hard,1,no,no
test_0190,test,bnp_030994_1,bnp_030994,reading_comprehension,has_context,easy,0,no,no
test_0191,test,bnp_002326_0,bnp_002326,reading_comprehension,has_context,easy,1,no,no
test_0192,test,bnp_011445_0,bnp_011445,reading_comprehension,has_context,easy,1,no,no
test_0193,test,bnp_027431_0,bnp_027431,history,has_context,hard,1,no,no
test_0194,test,bnp_000096_0,bnp_000096,reading_comprehension,has_context,easy,1,no,no
test_0195,test,bnp_007359_0,bnp_007359,others,has_context,hard,1,no,no
test_0196,test,bnp_008865_1,bnp_008865,history,has_context,hard,0,no,no
test_0197,test,bnp_027317_0,bnp_027317,antonym,no_context,easy,1,no,no
test_0198,test,bnp_002197_0,bnp_002197,reading_comprehension,has_context,hard,1,no,no
test_0199,test,bnp_031388_0,bnp_031388,history,has_context,hard,1,no,no
test_0200,test,bnp_018007_0,bnp_018007,antonym,no_context,easy,1,no,no
test_0201,test,bnp_021223_0,bnp_021223,others,has_context,hard,1,no,no
test_0202,test,bnp_019783_1,bnp_019783,mathematics,no_context,easy,0,no,no
test_0203,test,bnp_023702_0,bnp_023702,history,has_context,easy,1,no,no
test_0204,test,bnp_030245_0,bnp_030245,science,no_context,easy,1,no,no
test_0205,test,bnp_010239_1,bnp_010239,history,has_context,hard,0,no,no
test_0206,test,bnp_029869_1,bnp_029869,science,no_context,hard,0,no,no
test_0207,test,bnp_009168_0,bnp_009168,history,has_context,easy,1,no,no
test_0208,test,bnp_010463_0,bnp_010463,reading_comprehension,has_context,easy,1,no,no
test_0209,test,bnp_007949_0,bnp_007949,reading_comprehension,has_context,easy,1,no,no
test_0210,test,bnp_031536_0,bnp_031536,reading_comprehension,has_context,easy,1,no,no
test_0211,test,bnp_022268_0,bnp_022268,science,no_context,easy,1,no,no
test_0212,test,bnp_001143_0,bnp_001143,reading_comprehension,has_context,easy,1,no,no
test_0213,test,bnp_024002_1,bnp_024002,reading_comprehension,has_context,hard,0,no,no
test_0214,test,bnp_018719_0,bnp_018719,antonym,no_context,easy,1,no,no
test_0215,test,bnp_002611_0,bnp_002611,bcs,no_context,hard,1,no,no
test_0216,test,bnp_005213_1,bnp_005213,history,has_context,easy,0,no,no
test_0217,test,bnp_009824_0,bnp_009824,reading_comprehension,has_context,easy,1,no,no
test_0218,test,bnp_024674_0,bnp_024674,reading_comprehension,has_context,easy,1,no,no
test_0219,test,bnp_006649_1,bnp_006649,law,has_context,hard,0,no,no
test_0220,test,bnp_004131_1,bnp_004131,grammar,no_context,easy,0,no,no
test_0221,test,bnp_013724_0,bnp_013724,science,no_context,hard,1,no,no
test_0222,test,bnp_006911_0,bnp_006911,synonym,no_context,easy,1,no,no
test_0223,test,bnp_022913_0,bnp_022913,law,no_context,hard,1,no,no
test_0224,test,bnp_001885_0,bnp_001885,idiom_meaning,no_context,easy,1,no,no
test_0225,test,bnp_025846_1,bnp_025846,reading_comprehension,has_context,easy,0,no,no
test_0226,test,bnp_025618_1,bnp_025618,grammar,no_context,hard,0,no,no
test_0227,test,bnp_016801_0,bnp_016801,law,has_context,easy,1,no,no
test_0228,test,bnp_030751_1,bnp_030751,reading_comprehension,has_context,easy,0,no,no
test_0229,test,bnp_027555_0,bnp_027555,reading_comprehension,has_context,hard,1,no,no
test_0230,test,bnp_019306_0,bnp_019306,reading_comprehension,has_context,easy,1,no,no
test_0231,test,bnp_029564_0,bnp_029564,bcs,no_context,easy,1,no,no
test_0232,test,bnp_013564_1,bnp_013564,antonym,no_context,easy,0,no,no
test_0233,test,bnp_021319_0,bnp_021319,others,has_context,hard,1,no,no
test_0234,test,bnp_018331_0,bnp_018331,idiom_meaning,no_context,easy,1,no,no
test_0235,test,bnp_021945_0,bnp_021945,reading_comprehension,has_context,easy,1,no,no
test_0236,test,bnp_016384_1,bnp_016384,reading_comprehension,has_context,easy,0,no,no
test_0237,test,bnp_031245_1,bnp_031245,idiom_meaning,no_context,easy,0,no,no
test_0238,test,bnp_009356_1,bnp_009356,reading_comprehension,has_context,hard,0,no,no
test_0239,test,bnp_015481_1,bnp_015481,history,has_context,easy,0,no,no
test_0240,test,bnp_025521_0,bnp_025521,mathematics,no_context,easy,1,no,no
test_0241,test,bnp_013604_0,bnp_013604,history,has_context,hard,1,no,no
test_0242,test,bnp_019721_0,bnp_019721,bcs,no_context,easy,1,no,no
test_0243,test,bnp_029196_0,bnp_029196,history,has_context,hard,1,no,no
test_0244,test,bnp_008028_0,bnp_008028,reading_comprehension,has_context,easy,1,no,no
test_0245,test,bnp_009596_1,bnp_009596,history,has_context,hard,0,no,no
test_0246,test,bnp_002945_0,bnp_002945,grammar,no_context,easy,1,no,no
test_0247,test,bnp_013161_1,bnp_013161,idiom_meaning,no_context,easy,0,no,no
test_0248,test,bnp_028035_1,bnp_028035,reading_comprehension,has_context,easy,0,no,no
test_0249,test,bnp_028445_0,bnp_028445,others,has_context,easy,1,no,no
test_0250,test,bnp_005836_1,bnp_005836,reading_comprehension,has_context,easy,0,no,no
test_0251,test,bnp_015823_0,bnp_015823,history,has_context,easy,1,no,no
test_0252,test,bnp_031708_1,bnp_031708,law,no_context,easy,0,no,no
test_0253,test,bnp_016344_1,bnp_016344,reading_comprehension,has_context,easy,0,no,no
test_0254,test,bnp_003305_0,bnp_003305,grammar,has_context,hard,1,no,no
test_0255,test,bnp_014268_1,bnp_014268,literature,no_context,easy,0,no,no
test_0256,test,bnp_005829_0,bnp_005829,history,has_context,easy,1,no,no
test_0257,test,bnp_020034_1,bnp_020034,history,has_context,easy,0,no,no
test_0258,test,bnp_009501_1,bnp_009501,antonym,no_context,easy,0,no,no
test_0259,test,bnp_013172_0,bnp_013172,reading_comprehension,has_context,easy,1,no,no
test_0260,test,bnp_022862_0,bnp_022862,antonym,no_context,easy,1,no,no
test_0261,test,bnp_025426_0,bnp_025426,reading_comprehension,has_context,easy,1,no,no
test_0262,test,bnp_013557_1,bnp_013557,reading_comprehension,has_context,hard,0,no,no
test_0263,test,bnp_015239_0,bnp_015239,grammar,no_context,easy,1,no,no
test_0264,test,bnp_030484_0,bnp_030484,others,has_context,hard,1,no,no
test_0265,test,bnp_015948_0,bnp_015948,reading_comprehension,has_context,easy,1,no,no
test_0266,test,bnp_012612_1,bnp_012612,others,has_context,hard,0,no,no
test_0267,test,bnp_003418_0,bnp_003418,history,no_context,easy,1,no,no
test_0268,test,bnp_008031_1,bnp_008031,reading_comprehension,has_context,easy,0,no,no
test_0269,test,bnp_025146_0,bnp_025146,mathematics,no_context,easy,1,no,no
test_0270,test,bnp_015418_0,bnp_015418,mathematics,no_context,easy,1,no,no
test_0271,test,bnp_030458_0,bnp_030458,literature,no_context,easy,1,no,no
test_0272,test,bnp_022964_0,bnp_022964,synonym,no_context,easy,1,no,no
test_0273,test,bnp_015744_0,bnp_015744,grammar,has_context,hard,1,no,no
test_0274,test,bnp_019550_0,bnp_019550,history,has_context,easy,1,no,no
test_0275,test,bnp_028211_0,bnp_028211,vocabulary,no_context,easy,1,no,no
test_0276,test,bnp_022935_1,bnp_022935,grammar,no_context,hard,0,no,no
test_0277,test,bnp_021307_0,bnp_021307,law,has_context,easy,1,no,no
test_0278,test,bnp_011678_1,bnp_011678,synonym,no_context,easy,0,no,no
test_0279,test,bnp_011271_0,bnp_011271,bcs,no_context,hard,1,no,no
test_0280,test,bnp_029187_1,bnp_029187,bcs,no_context,easy,0,no,no
test_0281,test,bnp_021661_1,bnp_021661,others,has_context,hard,0,no,no
test_0282,test,bnp_030213_1,bnp_030213,grammar,no_context,easy,0,no,no
test_0283,test,bnp_014523_1,bnp_014523,history,has_context,easy,0,no,no
test_0284,test,bnp_008512_1,bnp_008512,history,has_context,easy,0,no,no
test_0285,test,bnp_025287_1,bnp_025287,history,has_context,easy,0,no,no
test_0286,test,bnp_018492_1,bnp_018492,mathematics,no_context,hard,0,no,no
test_0287,test,bnp_005257_1,bnp_005257,science,no_context,easy,0,no,no
test_0288,test,bnp_005588_1,bnp_005588,reading_comprehension,has_context,easy,0,no,no
test_0289,test,bnp_011571_1,bnp_011571,reading_comprehension,has_context,easy,0,no,no
test_0290,test,bnp_024880_0,bnp_024880,reading_comprehension,has_context,easy,1,no,no
test_0291,test,bnp_028330_0,bnp_028330,idiom_meaning,no_context,easy,1,no,no
test_0292,test,bnp_011291_1,bnp_011291,grammar,no_context,easy,0,no,no
test_0293,test,bnp_002789_0,bnp_002789,reading_comprehension,has_context,easy,1,no,no
test_0294,test,bnp_017562_1,bnp_017562,reading_comprehension,has_context,easy,0,no,no
test_0295,test,bnp_020372_0,bnp_020372,idiom_meaning,no_context,easy,1,no,no
test_0296,test,bnp_018298_1,bnp_018298,history,has_context,hard,0,no,no
test_0297,test,bnp_013881_1,bnp_013881,law,no_context,hard,0,no,no
test_0298,test,bnp_024986_0,bnp_024986,law,no_context,hard,1,no,no
test_0299,test,bnp_002414_1,bnp_002414,law,has_context,easy,0,no,no
test_0300,test,bnp_021191_1,bnp_021191,history,has_context,easy,0,no,no
test_0301,test,bnp_004868_0,bnp_004868,history,has_context,easy,1,no,no
test_0302,test,bnp_017580_0,bnp_017580,grammar,has_context,hard,1,no,no
test_0303,test,bnp_015280_1,bnp_015280,history,has_context,hard,0,no,no
test_0304,test,bnp_026774_1,bnp_026774,history,has_context,easy,0,no,no
test_0305,test,bnp_011081_1,bnp_011081,grammar,no_context,hard,0,no,no
test_0306,test,bnp_014372_0,bnp_014372,reading_comprehension,has_context,easy,1,no,no
test_0307,test,bnp_027166_1,bnp_027166,mathematics,no_context,easy,0,no,no
test_0308,test,bnp_004582_0,bnp_004582,history,has_context,easy,1,no,no
test_0309,test,bnp_009323_0,bnp_009323,history,has_context,easy,1,no,no
test_0310,test,bnp_010210_0,bnp_010210,idiom_meaning,no_context,easy,1,no,no
test_0311,test,bnp_026392_1,bnp_026392,reading_comprehension,has_context,hard,0,no,no
test_0312,test,bnp_001737_0,bnp_001737,science,no_context,easy,1,no,no
test_0313,test,bnp_009067_1,bnp_009067,history,has_context,hard,0,no,no
test_0314,test,bnp_002952_1,bnp_002952,bcs,no_context,easy,0,no,no
test_0315,test,bnp_027070_0,bnp_027070,literature,no_context,hard,1,no,no
test_0316,test,bnp_011592_1,bnp_011592,grammar,has_context,hard,0,no,no
test_0317,test,bnp_023210_1,bnp_023210,history,has_context,hard,0,no,no
test_0318,test,bnp_026094_1,bnp_026094,science,no_context,easy,0,no,no
test_0319,test,bnp_031799_1,bnp_031799,grammar,has_context,hard,0,no,no
test_0320,test,bnp_019149_0,bnp_019149,law,has_context,hard,1,no,no
test_0321,test,bnp_013370_0,bnp_013370,reading_comprehension,has_context,easy,1,no,no
test_0322,test,bnp_029870_1,bnp_029870,grammar,no_context,hard,0,no,no
test_0323,test,bnp_014858_1,bnp_014858,bcs,no_context,hard,0,no,no
test_0324,test,bnp_024240_1,bnp_024240,reading_comprehension,has_context,easy,0,no,no
test_0325,test,bnp_026374_0,bnp_026374,reading_comprehension,has_context,easy,1,no,no
test_0326,test,bnp_030017_0,bnp_030017,reading_comprehension,has_context,easy,1,no,no
test_0327,test,bnp_005884_0,bnp_005884,reading_comprehension,has_context,easy,1,no,no
test_0328,test,bnp_014158_0,bnp_014158,reading_comprehension,has_context,easy,1,no,no
test_0329,test,bnp_031300_0,bnp_031300,law,no_context,easy,1,no,no
test_0330,test,bnp_003722_1,bnp_003722,antonym,no_context,easy,0,no,no
test_0331,test,bnp_030738_0,bnp_030738,law,has_context,hard,1,no,no
test_0332,test,bnp_016529_1,bnp_016529,vocabulary,no_context,easy,0,no,no
test_0333,test,bnp_023788_1,bnp_023788,law,has_context,easy,0,no,no
test_0334,test,bnp_008057_1,bnp_008057,vocabulary,no_context,easy,0,no,no
test_0335,test,bnp_013390_1,bnp_013390,reading_comprehension,has_context,easy,0,no,no
test_0336,test,bnp_018269_0,bnp_018269,grammar,has_context,hard,1,no,no
test_0337,test,bnp_017318_0,bnp_017318,reading_comprehension,has_context,easy,1,no,no
test_0338,test,bnp_012791_1,bnp_012791,reading_comprehension,has_context,easy,0,no,no
test_0339,test,bnp_013698_1,bnp_013698,mathematics,no_context,easy,0,no,no
test_0340,test,bnp_015140_0,bnp_015140,reading_comprehension,has_context,easy,1,no,no
test_0341,test,bnp_000430_1,bnp_000430,idiom_meaning,no_context,easy,0,no,no
