item_id,split,condition,subject,corpus_label,votes,all_humans_disagree_with_corpus,context,question,answer
dev_0476,dev,has_context,reading_comprehension,wrong,annotator=correct/none,yes,ডেম সুসান মেরি বেইলি (জন্ম ২৯ আগস্ট ১৯৫০) একজন ব্রিটিশ মনোরোগ বিশেষজ্ঞ এবং শিক্ষাবিদ যিনি শিশু ও কিশোর-কিশোরীদের মানসিক স্বাস্থ্যে বিশেষজ্ঞ। ২০০৪ সাল থেকে তিনি সেন্ট্রাল ল্যাঙ্কাশায়ার বিশ্ববিদ্যালয়ের শিশু মানসিক স্বাস্থ্যের অধ্যাপক। ২০১১ থেকে ২০১৪ সাল পর্যন্ত তিনি রয়্যাল কলেজ অফ সাইকিয়াট্রিস্টস-এর প্রেসিডেন্ট ছিলেন। ২০১৫ সালের জানুয়ারি থেকে তিনি একাডেমি অফ মেডিকেল রয়্যাল কলেজেস-এর চেয়ার হিসেবে দায়িত্ব পালন করছেন।,সুসান বেইলি কবে জন্মগ্রহণ করেন?,২৯ আগস্ট ১৯৫০
dev_0490,dev,has_context,history,wrong,annotator=correct/none,yes,আলীবর্দী খানের প্রকৃত নাম মির্জা মুহম্মদ আলী । তাঁর পিতার নাম মির্জা মুহম্মদ । তিনি মুঘল দরবার কতৃক খান উপাধি পেয়েছিলেন। আরব বংশোদ্ভূত মির্জা মুহম্মদ বেগ মুঘল সম্রাট আওরঙ্গজেবের তৃতীয় পুত্র আজম শাহের দরবারের একজন কর্মকর্তা ছিলেন[2]। আলীবর্দী খানের মা ইরানের খোরাসানের এক তুর্কি উপজাতি থেকে এসেছিলেন। তাঁর পিতামহ আওরঙ্গজেবের সৎ ভাই ছিলেন। মির্জা মুহম্মদ আলী পূর্ণবয়স্ক হবার পরপরই আজম শাহ তাঁকে পিলখানার পরিচালক হিসেবে নিয়োগ দেন[2]।,নবাব আলীবর্দী খান কোন বংশের সন্তান ছিলেন ?,আরব বংশের সন্তান ছিলেন।
dev_0504,dev,has_context,law,correct,annotator=wrong/relational,yes,"১৯৭১ সালের ৭ মার্চ জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান ঢাকার রেসকোর্স ময়দানে (বর্তমান শহীদ সোহরাওয়ার্দী উদ্যান) ঐতিহাসিক ভাষণ দেন, যা বাঙালি জাতিকে স্বাধীনতা সংগ্রামের পথ দেখিয়েছিল।",৭ মার্চের ভাষণের শেষ দুটি শব্দ কী ছিল?,"""জয় বাংলা"""
dev_0534,dev,has_context,law,correct,annotator=wrong/relational,yes,"বাল্যবিবাহ নিরোধ আইন, ২০১৭ হলো Child Marriage Restraint Act, 1929 রহিতপূর্বক সময়োপযোগী করিয়া নূতনভাবে প্রণীত একটি আইন।",বাল্যবিবাহ নিরোধ আইনের ধারা ৩ অনুযায়ী কোন কমিটি গঠনের বিধান আছে?,বাল্যবিবাহ প্রতিরোধ কমিটি
dev_0557,dev,has_context,reading_comprehension,correct,annotator=wrong/relational,yes,"ভীষ্ম প্রবল পরাক্রান্ত হয়ে উঠলে স্বয়ং কৃষ্ণ তাকে প্রতিরোধ করতে গিয়ে 'যুদ্ধে যোগদান না করার' প্রতিজ্ঞা ভঙ্গ করেন। যুদ্ধের ১০ম দিনে অর্জুন শিখণ্ডীকে (পূর্বজন্মে অম্বা) সাথে রেখে নিরস্ত্র ভীষ্মের ওপর ক্রমাগত বাণবর্ষণ করতে থাকেন ও এই বাণ দ্বারা ভীষ্ম শরশয্যায় শায়িত হয় ও তার পতন ঘটে। কৌরব পক্ষের সেনাপতি হন অস্ত্রগুরু দ্রোন। অর্জুনের পুত্র অভিমন্যু কৌরবদের চক্রব্যুহে প্রবেশ করলেও বের হবার উপায় না জানায় একা ‘সপ্তরথী’র সাথে যুদ্ধ করে নিহত হয়। এরপর কৃষ্ণের মন্ত্রণায় ভীম অশ্বত্থামা নামে একটি হাতিকে মারে ও সত্যবাদী যুধিষ্ঠির দ্রোণকে তাঁর পুত্রের মৃত্যুর মিথ্যা সংবাদ জানায় (“অশ্বত্থামা হত, ইতি গজ।”)। শোকে দ্রোণ অস্ত্রত্যাগ করলে দ্রৌপদীর ভ্রাতা ধৃষ্টদ্যুম্ন তাঁকে বধ করেন। ভীম দুঃশাসনের বুক চিরে রক্তপান করেন। সেনাপতি কর্ণ সারথি হিসেবে পান মহাবীর শল্যকে। কর্ণ ও অর্জুনের প্রবল দ্বৈরথ হয়। কর্ণ-অর্জুনের যুদ্ধে কর্ণের রথের চাকা মাটিতে বসে যায় ও কর্ণ চাকা তুলতে গেলেঅর্জুন তাঁকে বধ করেন। যুধিষ্ঠির শল্যকে ও সহদেব শকুনিকে বধ করেন। একে একে সবার মৃত্যু হয়। শেষে ভীম কৃষ্ণের ইঙ্গিতে অন্যায়ভাবে গদা দ্বারা দুর্যোধনের ঊরুভঙ্গ করে তাঁকে বধ করেন। কিন্তু গভীর রাতে অশ্বত্থামা পাণ্ডব শিবিরে প্রবেশ করে দ্রৌপদীর পঞ্চপুত্র, ধৃষ্টদ্যুম্ন প্রভৃতিদের হত্যা করেন। ক্রুদ্ধ পাণ্ডবেরা অশ্বত্থামার মস্তকের মণি হরণ করেন ও জরাগ্রস্ত অমর অশ্বত্থামা নিরুদ্দিষ্ট হন।",মহাভারত অনুযায়ী দ্রৌপদী মোট কয় জন সন্তানের মা ?,পাঁচজন।
dev_0621,dev,has_context,reading_comprehension,wrong,annotator=correct/none,yes,"মোনায়েম সরকার (জন্ম ৩০ মার্চ ১৯৪৫) একজন বাংলাদেশি রাজনীতিবিদ, কলাম লেখক ও গবেষক। ২০১৩ সালে বাংলা একাডেমি তাকে সম্মানসূচক ফেলোশিপ প্রদান করে।",মোনায়েম সরকার কবে জন্মগ্রহণ করেন?,৩০ মার্চ ১৯৪৫
dev_0637,dev,has_context,reading_comprehension,wrong,annotator=correct/none,yes,তুর্কি জাতীয় আন্দোলনের ফলে তুরস্কে গ্র্যান্ড ন্যাশনাল এসেম্বলি গঠিত হয়। ১৯২৩ সালের ২৪ জুলাই লুসানের চুক্তিতে জাতির স্বাধীনতা ও সীমানা বিষয়ে আনুষ্ঠানিক নিশ্চয়তা লাভ করা হয়। ন্যাশনাল এসেম্বলি ১৯২৩ সালের ২৯ অক্টোবর তুরস্ককে প্রজাতন্ত্র ও আঙ্কারাকে এর রাজধানী ঘোষণা করে। ফলে প্রায় ৭০০ বছর পর উসমানীয় সাম্রাজ্য আনুষ্ঠানিকভাবে সমাপ্ত হয়। তবে সুলতান এই আন্দোলন দমন করতে ইচ্ছুক ছিলেন এবং শাইখুল ইসলামের মাধ্যমে ফতোয়া জারি করেন যাতে তা অনৈসলামিক ঘোষণা করা হয়। তবে জাতীয়তাবাদিরা ধীরে ধীরে গতি পায় এবং ব্যাপক জনসমর্থন লাভ করে। হুমকি দূর করার জন্য সুলতান নির্বাচন অনুষ্ঠানের জন্য রাজি হন। এতে জাতীয়তাবাদিরা জয়ী হয়।,উসমানীয় সাম্রাজ্য কবে ধ্বংস হয় ?,উসমানীয় সাম্রাজ্য ধ্বংস হয় ১৯২৩ সালের ২৯ অক্টোবর।
dev_0739,dev,has_context,reading_comprehension,correct,annotator=wrong/numeric,yes,মার্গারেট ক্যাম্বল গেইজ (১৭৩৪-১৮২৪) ছিলেন জেনারেল থমাস গেইজের স্ত্রী। থমাস গেইজ আমেরিকার স্বাধীনতা আন্দোলনের সময় ব্রিটিশ সেনাবাহিনীর প্রধান সেনা কর্মকতা ছিলেন। ক্যাম্বল স্বাধীনতা আন্দোলনের সময় তার স্বামীর বিরুদ্ধে গুপ্তচরাবৃত্তি করেছেন। কারণ তিনি জন্মসূত্রে ছিলেন আমেরিকান। তার জন্ম নিউ জার্সির নিউ বার্নসউইকে এবং তিনি পূর্ব বার্নসউইকে বসবাস করতেন।,মার্গারেট ক্যাম্বল গেইজ কবে জন্মগ্রহণ করেন?,১৮২৪
dev_0764,dev,has_context,reading_comprehension,wrong,annotator=correct/none,yes,"জমিদার(দেবনাগরী: ज़मींदार , উর্দু: زمیندار বা জমিদার প্রথা বা জমিদারি বা জমিদারি প্রথা ) ফার্সি যামিন (জমি) ও দাস্তান (ধারণ বা মালিকানা)-এর বাংলা অপভ্রংশের সঙ্গে ‘দার’ সংযোগে ‘জমিদার’ শব্দের উৎপত্তি। মধ্যযুগীয় বাংলার অভিজাত শ্রেণীর ভূম্যধিকারীদের পরিচয়জ্ঞাপক নাম হিসেবে শব্দটি ঐতিহাসিক পরিভাষার অন্তর্ভুক্ত হয়েছে। মুগল আমলে জমিদার বলতে প্রকৃত চাষির ঊর্ধ্বে সকল খাজনা গ্রাহককে বোঝানো হতো। প্রকৃত চাষি জমিদার নয়, কারণ সে কখনও তার জমি খাজনা বা ভাড়ায় অন্য কাউকে প্রদান করে না। জমিদাররা শুধু খাজনা আদায়ের স্বত্বাধিকারী, জমির স্বত্বাধিকারী নয়। পক্ষান্তরে, জমির মালিকদের বলা হতো রায়ত বা চাষি যাদের নামে জমাবন্দি বা রেন্ট-রোল তৈরি হতো। এই ধারণায় জমিদারগণ রাজস্বের চাষি ছিল মাত্র। এরা ছিল সরকার এবং হুজুরি (স্বতন্ত্র) তালুকদার ব্যতীত নিম্নস্তরের রাজস্ব চাষিদের মধ্যস্থ পক্ষ। হুজুরি তালুকদারগণ খালসায় (খাজাঞ্চি খানায়) সরাসরি রাজস্ব প্রদান করত।",জমিদার শব্দের অর্থ কী ?,চাষির ঊর্ধ্বে সকল খাজনা গ্রাহক
dev_0768,dev,has_context,law,correct,annotator=wrong/relational,yes,বাংলাদেশের সংবিধান ১৯৭২ সালের ৪ নভেম্বর গণপরিষদে গৃহীত হয় এবং একই বছর ১৬ ডিসেম্বর বিজয় দিবসে বলবৎ হয়।,সংবিধানের প্রস্তাবনায় রাষ্ট্র পরিচালনার আদর্শ হিসেবে কোন চারটি মূলনীতি উল্লেখ আছে?,"জাতীয়তাবাদ, সমাজতন্ত্র, গণতন্ত্র ও ধর্মনিরপেক্ষতা"
dev_0778,dev,no_context,vocabulary,correct,annotator=wrong/fabricated,yes,,"""গুবলেট"" এর শাব্দিক অর্থ কী?",ভাসমান বা ভেসে যাওয়া বস্তু (যেমন নৌকা বা পাত্র)
dev_0788,dev,no_context,bcs,correct,annotator=wrong/fabricated,yes,,নেপালের পার্লামেন্টের নাম কী?,পার্লামেন্ট
dev_0848,dev,has_context,reading_comprehension,correct,annotator=wrong/numeric,yes,"আর্যভট্ট (দেবনগরী: आर्यभट) (৪৭৬ – ৫৫০)[1][2] প্রাচীন ভারতের সবচেয়ে বিখ্যাত গণিতবিদদের মধ্যে একজন। ভারতের প্রথম কৃত্রিম উপগ্রহের নাম তার নামে ""আর্যভট্ট"" রাখা হয়।",ভারতীয় গণিতবিদ আর্যভট্ট কবে জন্মগ্রহণ করেন ?,৫৫০
dev_0855,dev,has_context,history,correct,annotator=wrong/numeric,yes,"সর্বশেষ বিশ্বকাপ অনুষ্ঠিত হয়েছে রাশিয়ায়, ২০১৮ সালের ১৪ জুন থেকে ১৫ জুলাই পর্যন্ত। এই বিশ্বকাপে ফ্রান্স ক্রোয়েশিয়াকে ফাইনালে ৪-২ গোলে পরাজিত করে শিরোপা জিতে নেয়।",সর্বশেষ ফিফা বিশ্বকাপ আন্তর্জাতিক ফুটবল প্রতিযোগিতা কত সালে অনুষ্ঠিত হয়েছিল ?,২০২২
dev_0923,dev,no_context,vocabulary,correct,annotator=wrong/fabricated,yes,,"""ভেরেণ্ডা ভাজা"" এর শাব্দিক অর্থ কী?",ভেরেণ্ডা (এক ধরনের শাক) ভাজা
dev_0958,dev,has_context,reading_comprehension,correct,annotator=wrong/numeric,yes,তুর্কি জাতীয় আন্দোলনের ফলে তুরস্কে গ্র্যান্ড ন্যাশনাল এসেম্বলি গঠিত হয়। ১৯২৩ সালের ২৪ জুলাই লুসানের চুক্তিতে জাতির স্বাধীনতা ও সীমানা বিষয়ে আনুষ্ঠানিক নিশ্চয়তা লাভ করা হয়। ন্যাশনাল এসেম্বলি ১৯২৩ সালের ২৯ অক্টোবর তুরস্ককে প্রজাতন্ত্র ও আঙ্কারাকে এর রাজধানী ঘোষণা করে। ফলে প্রায় ৭০০ বছর পর উসমানীয় সাম্রাজ্য আনুষ্ঠানিকভাবে সমাপ্ত হয়। তবে সুলতান এই আন্দোলন দমন করতে ইচ্ছুক ছিলেন এবং শাইখুল ইসলামের মাধ্যমে ফতোয়া জারি করেন যাতে তা অনৈসলামিক ঘোষণা করা হয়। তবে জাতীয়তাবাদিরা ধীরে ধীরে গতি পায় এবং ব্যাপক জনসমর্থন লাভ করে। হুমকি দূর করার জন্য সুলতান নির্বাচন অনুষ্ঠানের জন্য রাজি হন। এতে জাতীয়তাবাদিরা জয়ী হয়।,উসমানীয় সাম্রাজ্য কবে ধ্বংস হয় ?,১ নভেম্বর ১৯২২।
dev_0974,dev,has_context,history,correct,annotator=wrong/entity,yes,"১৬৫৮ সালে শাহজাহানের জ্যেষ্ঠ পুত্র দারাশিকো রাজ শাসকের প্রতিনিধি হিসেবে ক্ষমতায় আরোহন করে। শাহজাহানের অপর পুত্র আওরঙ্গজেব কিছু ধর্মভিত্তিক গোষ্ঠীর সহায়তায় দিল্লির সিংহাসন দখল করেন। ১৬৫৯ সালে আওরঙ্গজেব তার ভাইকে যুদ্ধে পরাজিত করেন এবং মৃত্যুদণ্ড প্রদান করেন।[7] যদিও শাহজাহান তখন সম্পূর্ণ সুস্থ ছিলেন, তথাপি আওরঙ্গজেব তাকে অসুস্থতার অজুহাত দেখিয়ে রাজকার্য পরিচালনা করার অযোগ্য ঘোষণা করে তাকে গৃহবন্দী করে রাখেন।",মুঘল সম্রাট জাহাঙ্গীরের পর কে মুঘল সম্রাট হন ?,শাহজাহান মুঘল সম্রাট হন।
dev_1017,dev,has_context,history,correct,annotator=wrong/numeric,yes,"আবদুল আজিজ ইবনে আবদুর রহমান ইবনে ফয়সাল ইবনে তুর্কি ইবনে আবদুল্লাহ ইবনে মুহাম্মদ আল সৌদ (Arabic: عبد العزيز بن عبد الرحمن آل سعود‎, ‘Abd al-‘Azīz ibn ‘Abd ar-Raḥman Āl Sa‘ūd; ১৫ জানুয়ারি ১৮৭৬[1] – ৯ নভেম্বর ১৯৫৩) আরব বিশ্বে সাধারণভাবে আবদুল আজিজ[2] বা ইবনে সৌদ[3] বলে পরিচিত। তিনি আধুনিক সৌদি আরবের প্রতিষ্ঠাতা ও সৌদি আরবের প্রথম বাদশাহ।[4]",আবদুল্লাহ বিন আল-হুসাইন কত সালে জন্মগ্রহণ করেছিলেন ?,২ ফেব্রুয়ারি ১৮৮২
dev_1039,dev,has_context,law,correct,annotator=wrong/numeric,yes,"বাল্যবিবাহ নিরোধ আইন, ২০১৭ হলো Child Marriage Restraint Act, 1929 রহিতপূর্বক সময়োপযোগী করিয়া নূতনভাবে প্রণীত একটি আইন।",বাল্যবিবাহ নিরোধ আইনের ধারা ৫ অনুযায়ী নিষেধাজ্ঞা জারির পরও কেউ তা ভঙ্গ করলে সর্বোচ্চ কত মাস কারাদণ্ড হতে পারে?,৬ মাস
dev_1051,dev,has_context,law,correct,annotator=wrong/numeric,yes,"নারীবাদ (Feminism) ১৮৮০ সালে ফ্রান্সে, ১৮৯০ সালে যুক্তরাজ্যে এবং ১৯১০ সালে যুক্তরাষ্ট্রে বিশ্বব্যাপী আন্দোলন হিসেবে প্রচলন লাভ করে।",জাতিসংঘের হিসাব অনুযায়ী বিশ্বের মোট জনসংখ্যার কত শতাংশ নারী?,৫১ শতাংশ
dev_1054,dev,has_context,law,correct,annotator=wrong/numeric,yes,"নারীবাদ (Feminism) ১৮৮০ সালে ফ্রান্সে, ১৮৯০ সালে যুক্তরাজ্যে এবং ১৯১০ সালে যুক্তরাষ্ট্রে বিশ্বব্যাপী আন্দোলন হিসেবে প্রচলন লাভ করে।",'নারীমুক্তি' (Women's Liberation) স্লোগানটি প্রথম ব্যবহৃত হয় কোন সালে?,১৯৬৪ সালে
dev_1076,dev,has_context,law,correct,annotator=wrong/numeric,yes,ভারতীয় উপমহাদেশে সাংবিধানিক ধারার বিকাশ ঘটে ১৭৭৩ সালের রেগুলেটিং অ্যাক্ট পাসের মধ্য দিয়ে এবং ক্রমান্বয়ে তা পরিবর্তিত হতে থাকে ১৯৩৫ সালের ভারত শাসন আইন পর্যন্ত।,মর্লি-মিন্টো সংস্কার নামে পরিচিত আইনটি কোন সালে পাস হয়?,১৯০৯ সালে
dev_1133,dev,has_context,reading_comprehension,wrong,annotator=correct/none,yes,"তুকারাম (১৬০৮-১৬৪৫) ছিলেন একজন বিশিষ্ট সন্ত এবং আধ্যাত্মিক কবি। তাকে গৌরবসূচক সন্ত তুকারাম, ভক্ত তুকারাম, মহারাজ তুকারাম, তুকুবা ও তুকুবারায়া নামেও ডাকা হত। তুকারাম ভারতের মহারাষ্ট্রের পুনের নিকটে দেহু শহরে জন্মগ্রহণ করেন ও তার জীবনের অধিকাংশ সময় অতিবাহিত করেন। তুকারাম তার অভঙ্গ নামক ভক্তিমূলক কবিতা ও কীর্তন গানের জন্য সর্বাধিক পরিচিত।",তুকারাম কবে জন্মগ্রহণ করেন?,১৬০৮
dev_1157,dev,has_context,law,correct,annotator=wrong/relational,yes,"২০১৮ সালের ৬ সেপ্টেম্বর ভারতের সুপ্রিম কোর্ট সর্বসম্মতভাবে রায় দিয়ে জানায়, সম্মতিসূচক প্রাপ্তবয়স্কদের মধ্যে সমকামিতা অপরাধ নয়, এবং ভারতীয় দণ্ডবিধির ৩৭৭ ধারার সংশ্লিষ্ট অংশ অবৈধ ঘোষণা করে।","রায়ে বলা হয়, ব্যক্তিপরিসর রক্ষা কী ধরনের অধিকার?",মানুষের মৌলিক অধিকার
dev_1192,dev,no_context,bcs,wrong,annotator=correct/none,yes,,'Intellectual' শব্দের বাংলা অর্থ-,মননশীল
