item_id,split,condition,subject,reason,corpus_label,votes,allowed_types,context,question,answer,your_decision,adjudicator_notes
dev_0637,dev,has_context,reading_comprehension,"human says correct, corpus says wrong",wrong,annotator=correct/none,contradiction | entity | numeric | relational,তুর্কি জাতীয় আন্দোলনের ফলে তুরস্কে গ্র্যান্ড ন্যাশনাল এসেম্বলি গঠিত হয়। ১৯২৩ সালের ২৪ জুলাই লুসানের চুক্তিতে জাতির স্বাধীনতা ও সীমানা বিষয়ে আনুষ্ঠানিক নিশ্চয়তা লাভ করা হয়। ন্যাশনাল এসেম্বলি ১৯২৩ সালের ২৯ অক্টোবর তুরস্ককে প্রজাতন্ত্র ও আঙ্কারাকে এর রাজধানী ঘোষণা করে। ফলে প্রায় ৭০০ বছর পর উসমানীয় সাম্রাজ্য আনুষ্ঠানিকভাবে সমাপ্ত হয়। তবে সুলতান এই আন্দোলন দমন করতে ইচ্ছুক ছিলেন এবং শাইখুল ইসলামের মাধ্যমে ফতোয়া জারি করেন যাতে তা অনৈসলামিক ঘোষণা করা হয়। তবে জাতীয়তাবাদিরা ধীরে ধীরে গতি পায় এবং ব্যাপক জনসমর্থন লাভ করে। হুমকি দূর করার জন্য সুলতান নির্বাচন অনুষ্ঠানের জন্য রাজি হন। এতে জাতীয়তাবাদিরা জয়ী হয়।,উসমানীয় সাম্রাজ্য কবে ধ্বংস হয় ?,উসমানীয় সাম্রাজ্য ধ্বংস হয় ১৯২৩ সালের ২৯ অক্টোবর।,,
dev_0650,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,প্রায় দুই বিঘা জায়গার ওপর নির্মিত এই ভবনের ব্যবহারযোগ্য আয়তনের পরিমাণ ১ লাখ ৮৫ হাজার বর্গফুট। নতুন ভবনে ছয়টি গ্যালারি রয়েছে। গ্যালারিগুলো ভবনের চতুর্থ ও পঞ্চম তলায়। এর মধ্যে ২১ হাজার বর্গফুট জায়গাজুড়ে রয়েছে চারটি স্থায়ী গ্যালারি।,মুক্তিযুদ্ধ জাদুঘরের গ্যালারিগুলো ভবনের কোন তলায় অবস্থিত?,চতুর্থ ও পঞ্চম থলায়,,
dev_0692,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,এডওয়ার্ড ওয়েনরাইট ইংল্যান্ডের ইয়র্কশায়ারের শেফিল্ডের টিনস্লিতে জন্মগ্রহণ করেছিলেন। কাউন্টি চ্যাম্পিয়নশিপের ইতিহাসে সর্বনিম্ন বোলিং গড় অর্জনের জন্য ওয়েনরাইট স্মরণীয় হয়ে থাকবেন – ১৮৯৪ সালে ৯৭ উইকেটে ১০.১৭ গড়। অস্ট্রেলিয়ার বিপক্ষে তার পাঁচটি টেস্ট ম্যাচে তিনি একটিও উইকেট নিতে পারেননি।,শক্ত পিচে ওয়েইনরাইটের বোলিং সম্পর্কে কী বলা হয়েছে?,শক্ত পিচে তার বলে কখনোই কোনো ধার ছিল ণা,,
dev_0705,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,"কলেজটি ৬টি উইংসে বিভক্ত: হালকা নীল রঙের জিন্নাহ উইং (মুহাম্মদ আলী জিন্নাহর নামে), লাল রঙের হায়দার উইং (আলী ইবনে আবু তালিবের উপাধি 'হায়দার'-এর নামে), খয়েরী রঙের ইকবাল উইং (মুহাম্মদ ইকবালের নামে), আকাশী রঙের ওমর উইং (উমর ইবনুল খাত্তাবের নামে), হলুদ রঙের লিয়াকত উইং (লিয়াকত আলি খানের নামে), এবং গাঢ় সবুজ রঙের আওরঙ্গজেব উইং (আওরঙ্গজেবের নামে)।",আওরঙ্গজেব উইংয়ের রং কী?,গাঢ় সবুয,,
dev_0764,dev,has_context,reading_comprehension,"human says correct, corpus says wrong",wrong,annotator=correct/none,contradiction | entity | numeric | relational,"জমিদার(দেবনাগরী: ज़मींदार , উর্দু: زمیندار বা জমিদার প্রথা বা জমিদারি বা জমিদারি প্রথা ) ফার্সি যামিন (জমি) ও দাস্তান (ধারণ বা মালিকানা)-এর বাংলা অপভ্রংশের সঙ্গে ‘দার’ সংযোগে ‘জমিদার’ শব্দের উৎপত্তি। মধ্যযুগীয় বাংলার অভিজাত শ্রেণীর ভূম্যধিকারীদের পরিচয়জ্ঞাপক নাম হিসেবে শব্দটি ঐতিহাসিক পরিভাষার অন্তর্ভুক্ত হয়েছে। মুগল আমলে জমিদার বলতে প্রকৃত চাষির ঊর্ধ্বে সকল খাজনা গ্রাহককে বোঝানো হতো। প্রকৃত চাষি জমিদার নয়, কারণ সে কখনও তার জমি খাজনা বা ভাড়ায় অন্য কাউকে প্রদান করে না। জমিদাররা শুধু খাজনা আদায়ের স্বত্বাধিকারী, জমির স্বত্বাধিকারী নয়। পক্ষান্তরে, জমির মালিকদের বলা হতো রায়ত বা চাষি যাদের নামে জমাবন্দি বা রেন্ট-রোল তৈরি হতো। এই ধারণায় জমিদারগণ রাজস্বের চাষি ছিল মাত্র। এরা ছিল সরকার এবং হুজুরি (স্বতন্ত্র) তালুকদার ব্যতীত নিম্নস্তরের রাজস্ব চাষিদের মধ্যস্থ পক্ষ। হুজুরি তালুকদারগণ খালসায় (খাজাঞ্চি খানায়) সরাসরি রাজস্ব প্রদান করত।",জমিদার শব্দের অর্থ কী ?,চাষির ঊর্ধ্বে সকল খাজনা গ্রাহক,,
dev_0834,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,"১৯২১ সালের ১ জুলাই ঢাকা বিশ্ববিদ্যালয় স্থাপিত হয়েছিল ঢাকা হল (পরে ড. মুহম্মদ শহীদুল্লাহ হল), জগন্নাথ হল এবং মুসলিম হল (পরে সলিমুল্লাহ মুসলিম হল) নিয়ে। হিন্দু ছাত্রদের জন্য জগন্নাথ হল, মুসলমান ছাত্রদের জন্য সলিমুল্লাহ মুসলিম হল আর সবধর্মের ছাত্রদের জন্য ঢাকা হল স্থাপিত হয়েছিল। ঢাকা হলের প্রথম প্রভোস্ট ছিলেন ঢাকা কলেজের অধ্যক্ষ এফ. সি. সি. টার্নার।",ঢাকা বিশ্ববিদ্যালয় প্রথমে কোন তিনটি হল নিয়ে স্থাপিত হয়?,"ঢাকা হল, জগন্নাথ হল ও মুসলীম হল",,
dev_0845,dev,has_context,reading_comprehension,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,"আবু ইউসুফ ইয়াকুব ইবনে ইসহাক আল-কিন্দি (Arabic: أبو يوسف يعقوب بن إسحاق الكندي‎‎) (৮০১ - ৮৭৩) প্রখ্যাত আরব পণ্ডিত। পাশ্চাত্য বিশ্বে তিনি লাতিনিকৃত ""আলকিন্ডাস"" (Alkindus) নামে পরিচিত। তিনি ছিলেন একাধারে দার্শনিক, বিজ্ঞানী, জ্যোতিষী, জ্যোতির্বিজ্ঞানী, বিশ্বতত্ত্ববিদ, রসায়নবিদ, যুক্তিবিদ, গণিতজ্ঞ, সঙ্গীতজ্ঞ, পদার্থবিজ্ঞানী, মনোবিজ্ঞানী এবং আবহবিজ্ঞানী। মুসলিম পেরিপ্যাটেটিক দার্শনিকদের মধ্যে তিনিই প্রথম। তাই তাকে মুসলিম পেরিপ্যাটেটিক দর্শনের জনক বলা যায়। তার অনেক অর্জনের মধ্যে বিশেষ উল্লেখযোগ্য ছিল গ্রিক এবং হেলেনীয় দর্শনকে আরব জগতে পরিচিত করে তোলা। এছাড়া বিজ্ঞানের অনেকগুলো শাখায় তিনি অগ্রদূতের ভূমিকা পালন করেছেন।",দর্শনশাস্ত্রের জনক কাকে বলা হয় ?,পেরিপ্যাটেটিক নয়।,,
dev_0909,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,মুঘল সম্রাট আকবরের প্রবর্তিত 'দীন-ই-ইলাহী' হলো বিভিন্ন ধর্মের মূলনীতির সমন্বয়ে গঠিত একটি মতাদর্শ। সম্রাট আকবর (১৫৫৬–১৬০৫) এর সময়ে মুঘল সাম্রাজ্যের ভিত্তি সুদৃঢ় হয়। তিনি ১৫৮২ সালে 'দীন-ই-ইলাহী' (বা 'তাওহীদ-ই-ইলাহী') নামক সমন্বিত ধর্মতত্ত্ব বা মতাদর্শ প্রচার করেন।,আকবরের প্রবর্তিত ধর্মমতের অপর নাম কী?,তাওহীদ-ই-ইলাহি,,
dev_0966,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,"উমাইয়া মসজিদ, দামেস্ক গ্রেট মসজিদ হিসেবেও পরিচিত। এই মসজিদটি দামেস্কের পুরাতন শহরে অবস্থিত, যা বিশ্বের বৃহত্তম ও প্রাচীন মসজিদগুলোর মধ্যে অন্যতম। মুসলমানদের একটি অংশের মতে এটি ইসলাম ধর্মাবলম্বীদের চতুর্থ পবিত্র স্থান। ৬৩৪ সালে আরব যুদ্ধে দামেস্ক বিজয়ের পর, জন দ্য বাপটিস্ট (ইয়াহিয়া)-এর খ্রিস্টানদের উৎসর্গকৃত স্থানে এই মসজিদটি স্থাপিত হয়।",কোন শহরে উমাইয়া মসজিদটি অবস্থিত?,দামেস্ক সহরে,,
dev_1133,dev,has_context,reading_comprehension,"human says correct, corpus says wrong",wrong,annotator=correct/none,contradiction | entity | numeric | relational,"তুকারাম (১৬০৮-১৬৪৫) ছিলেন একজন বিশিষ্ট সন্ত এবং আধ্যাত্মিক কবি। তাকে গৌরবসূচক সন্ত তুকারাম, ভক্ত তুকারাম, মহারাজ তুকারাম, তুকুবা ও তুকুবারায়া নামেও ডাকা হত। তুকারাম ভারতের মহারাষ্ট্রের পুনের নিকটে দেহু শহরে জন্মগ্রহণ করেন ও তার জীবনের অধিকাংশ সময় অতিবাহিত করেন। তুকারাম তার অভঙ্গ নামক ভক্তিমূলক কবিতা ও কীর্তন গানের জন্য সর্বাধিক পরিচিত।",তুকারাম কবে জন্মগ্রহণ করেন?,১৬০৮,,
dev_1192,dev,no_context,bcs,"human says correct, corpus says wrong",wrong,annotator=correct/none,fabricated | overclaim,,'Intellectual' শব্দের বাংলা অর্থ-,মননশীল,,
dev_1196,dev,has_context,reading_comprehension,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,"ইউরি আলেক্সেইভিচ্ গাগারিন (Russian: Юрий Алексеевич Гагарин,[1] ৯ মার্চ ১৯৩৪ – ২৭ মার্চ ১৯৬৮) একজন সোভিয়েত বৈমানিক এবং নভোচারী। তিনি সর্বপ্রথম ব্যক্তি যিনি মহাকাশ ভ্রমণ করেন, তিনি ভস্টক নভোযানে করে ১৯৬১ সালের ১২ই এপ্রিল, পৃথিবীর কক্ষপথ প্রদক্ষিণ করেন।",ইউরি আলেক্সেইভিচ্ গাগারিন কত বছর বয়সে মহাকাশ ভ্রমণ করেন ?,১৯৬২ সালের ১২ই এপ্রিল,,
dev_1221,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,১৯৯৯ সালে বাংলাদেশ সেনাবাহিনীর সহায়তায় মুক্তিযুদ্ধ জাদুঘর মিরপুরে মুসলিম বাজার ও জল্লাদখানা বধ্যভূমি খননের কাজ সম্পন্ন করে এবং পরে (২০০৮ সালে) জল্লাদখানা বধ্যভূমিতে একটি স্মৃতিপীঠ নির্মাণ করে।,মুক্তিযুদ্ধ জাদুঘর মিরপুরে বধ্যভূমি খননের কাজ কোন বাহিনীর সহায়তায় করে?,বাংলাদেশ সেনাবাহিনি,,
dev_1251,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,"১৯২৪ সালে তাঁর 'প্ল্যাঙ্কস্ ল অ্যান্ড দি লাইট কোয়ান্টাম হাইপথেসিস' শীর্ষক প্রবন্ধ প্রকাশিত হয়, যেটি বিজ্ঞানী আইনস্টাইন পাঠ করে চমৎকৃত হন। আইনস্টাইন সত্যেন্দ্রনাথের এই প্রবন্ধটি জার্মান ভাষায় অনুবাদ ও ব্যাখ্যাসহ বিজ্ঞান পত্রিকায় প্রকাশ করেন। প্রকাশিত প্রবন্ধটি বিজ্ঞান জগতে আলোড়ন সৃষ্টি করে এবং 'বোস-আইনস্টাইন তত্ত্ব' নামে সারা বিশ্বে সমাদৃত হয়। তাঁর নামানুসারে পরমাণুর এক ধরনের কণিকার নাম রাখা হয়েছে 'বোসন কণা'।",সত্যেন্দ্রনাথ বসুর তত্ত্ব কী নামে বিশ্বে সমাদৃত হয়?,বোস-আইনস্টাইন তত্ত্ভ,,
dev_1343,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,১৯২৬ সালের ফেব্রুয়ারি মাসে ঢাকা বিশ্ববিদ্যালয়ের আমন্ত্রণে রবীন্দ্রনাথ ঠাকুর ঢাকা আসেন এবং কার্জন হলে ১০ই ফেব্রুয়ারি দি মিনিং অব আর্ট (The Meaning of Art) এবং ১৩ই ফেব্রুয়ারি দি বিগ অ্যান্ড দি কমপ্লেক্স (The Big and the Complex) বিষয়ে বক্তৃতা প্রদান করেন। তৎকালীন উপাচার্য জর্জ হ্যারি ল্যাংলি এ দুটি বক্তৃতার সভাপতিত্ব করেন।,রবীন্দ্রনাথের ১৯২৬ সালের ঢাকা সফরের বক্তৃতাগুলোর সভাপতিত্ব কে করেন?,তৎকালীন উপাচার্য জর্জ হ্যারি ল্যাংলী,,
test_0004,test,has_context,reading_comprehension,annotators chose different types,wrong,tawhid=wrong/relational; shejan=wrong/numeric,contradiction | entity | numeric | relational,"বহু রাজ্য ও যুদ্ধবাজ নেতাদের শাসনামলে চৈনিক রাজবংশগুলো চীনের একটি অংশ শাসন করত। যার সীমানা বর্তমান জিংজিয়ান এবং তিব্বত পর্যন্ত বিস্তৃত ছিল। ২২১ খ্রিস্টপূর্বাব্দে কিন শি হুয়াং বিভিন্ন যুদ্ধরত রাজ্যগুলোকে একত্রিত করে কীন বংশের একটি ক্ষুদ্র “সাম্রাজ্য” (হুয়াংডি) প্রতিষ্ঠা করে, চৈনিক সম্রাজ্যের ইতিহাসে শুরু করেন। পরবর্তী রাজবংশগুলো একটি জনপ্রশাসন ব্যবস্থা প্রতিষ্ঠা করেছিল যা ক্রমে তৎকালিন চীনের বিশাল এলাকায় চৈনিক সম্রাটের নিয়ন্ত্রন প্রতিষ্ঠা করতে সাহায্য করে। চীনের সর্বশেষ সাম্রাজ্য ছিল কিং সাম্রাজ্য (১৬৪৪ থেকে ১৯১২), যার উচ্ছেদের পর ১৯১২ সালে রিপাবলিক অব চায়না, এবং ১৯৪৯ সালে গনপ্রজাতন্ত্রী চীন প্রতিষ্ঠিত হয়।",অনুচ্ছেদের ভিত্তিতে “বহু রাজ্য যুদ্ধবাজ নেতাদের শাসনামলে” বিষয়ে কোন বক্তব্যটি সঠিক?,বহু রাজ্য ও যুদ্ধবাজ নেতাদের শাসনামলে চৈনিক রাজবংশগুলো চীনের দুটি অংশ শাসন করত।,,
test_0008,test,has_context,reading_comprehension,annotators chose different types,wrong,tawhid=wrong/relational; shejan=wrong/numeric,contradiction | entity | numeric | relational,"লা মভিদা মাদ্রিলেনা নামে স্পেনের স্বৈরাচার পরবর্তী সাংস্কৃতিক আন্দোলনের সময় বান্দেরাস ছোটখাট দোকানে কাজ করতে শুরু করেন।[6] মঞ্চে কাজ করার সময়, বান্দেরাস স্প্যানিশ পরিচালক পেদ্রো আলমোদোভারের দৃষ্টি আকর্ষণ করেন। তিনি ১৯৮২ সালে তাকে ল্যাবরিন্‌থ অব প্যাশন ছবিতে অভিনয়ের সুযোগ করে দেন। পাঁচ বছর পরে তিনি একই পরিচালকের ল অব ডিজায়ার ছবিতে কাজ করেন। এতে তিনি একজন সমকামী চরিত্রে অভিনয় করেন এবং এই চরিত্রের জন্য তাকে প্রথম অন্য কোন পুরুষের সাথে চুম্বন দৃশ্যে দেখা যায়। বান্দেরাস পরে আলমোদোভারের ১৯৮৬ সালের ম্যাটাডোর ছবিতে কাজ করেন। পরে একই পরিচালকের আন্তর্জাতিকভাবে প্রশংসিত উইমেন অন দ্য ভার্জ অব আ নার্ভাস ব্রেকডাউন (১৯৮৮) ছবিতে অভিনয় করেন। দুই বছর পর বান্দেরাস আলমোদোভারের বিতর্কিত টাই মি আপ! টাই মি ডাউন ছবিতে মানসিক রোগী চরিত্রে অভিনয় করে খ্যাতি অর্জন করেন।[5] এই ছবির সাফল্য তাকে হলিউডে প্রবেশ করতে সাহায্য করেছিল। ১৯৮০-এর দশকে আলমোদোভারের চলচ্চিত্রে নিয়মিত অভিনয় করার জন্য আলমোদোভারকে বান্দেরাসের আন্তর্জাতিক কর্মজীবন শুরুর কৃতিত্ব দেওয়া হয়।[7]",প্রদত্ত তথ্য অনুযায়ী “এতে তিনি সমকামী চরিত্রে অভিনয়” সম্পর্কে কী জানা যায়?,এতে তিনি একজন সমকামী চরিত্রে অভিনয় করেন এবং এই চরিত্রের জন্য তাকে দ্বিতীয় অন্য কোন পুরুষের সাথে চুম্বন দৃশ্যে দেখা যায়।,,
test_0009,test,has_context,others,annotators chose different types,wrong,tawhid=wrong/entity; shejan=wrong/contradiction,contradiction | entity | numeric | relational,শিক্ষা ও অনুশীলনের মাধ্যমে ব্যক্তির মূল্যবোধ দৃঢ় হয়। মূল্যবোধভিত্তিক শিক্ষা নৈতিকতা ও কর্তব্যবোধ গড়ে তুলতে সাহায্য করে।,মূল্যবোধভিত্তিক শিক্ষা কী গড়ে তোলে?,শুধু শারীরিক শক্তি।,,
test_0017,test,has_context,grammar,annotators chose different types,wrong,tawhid=wrong/relational; shejan=wrong/entity,contradiction | entity | numeric | relational,'সবিনয়' শব্দটির ব্যাসবাক্য হলো: বিনয়ের সহিত বর্তমান।,"ব্যাসবাক্য অনুযায়ী, 'সবিনয়' শব্দটি কোন সমাসের উদাহরণ?",ব্যাধিকরণ বহুব্রীহি,,
test_0021,test,has_context,history,annotators chose different types,wrong,tawhid=wrong/entity; shejan=wrong/numeric,contradiction | entity | numeric | relational,এই জনসংখ্যার বিচারে কলকাতা ভারতের তৃতীয় বৃহত্তম শহর ও দ্বিতীয় বৃহত্তম মেট্রোপলিটান বা মহানগরীয় অঞ্চল এবং বিশ্বের অষ্টম বৃহত্তম মহানগর অঞ্চল।,জনসংখ্যার বিচারে কলকাতা ভারতের কততম বৃহত্তম শহর?,প্রথম,,
test_0025,test,has_context,history,marked unsure or unreadable,wrong,tawhid=unsure/none; shejan=unsure/none,contradiction | entity | numeric | relational,"তৃতীয় ওডিআইয়ে সাকিব একমাত্র ক্রিকেটার হিসেবে সকল ফরম্যাটে ৬,০০০ রান ও ৩০০ উইকেট শিকারের রেকর্ড করেন। বাংলাদেশ তিন ম্যাচের ওডিআই সিরিজ ৩-০ ব্যবধানে জয় লাভ করে এবং তিনি প্লেয়ার অব দ্য সিরিজ হন।","সাকিব কোন ম্যাচে একমাত্র ক্রিকেটার হিসেবে সকল ফরম্যাটে ৬,০০০ রান ও ৩০০ উইকেটের রেকর্ড করেন?",ওয়েস্ট ইন্ডিজের বিপক্ষে তৃতীয় ওডিআঈয়ে,,
test_0032,test,has_context,law,marked unsure or unreadable,wrong,tawhid=wrong/entity; shejan=unsure/none,contradiction | entity | numeric | relational,"১৯৭১ সালের ৭ মার্চ জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান ঢাকার রেসকোর্স ময়দানে (বর্তমান শহীদ সোহরাওয়ার্দী উদ্যান) ঐতিহাসিক ভাষণ দেন, যা বাঙালি জাতিকে স্বাধীনতা সংগ্রামের পথ দেখিয়েছিল।",একটি ব্রিটিশ পত্রিকা বঙ্গবন্ধু ভবনকে কোন ঐতিহাসিক স্থাপনার সঙ্গে তুলনা করেছিল?,হোয়াইট হাউজের সঙ্গে,,
