item_id,condition,context,question,answer,your_label,your_type,your_difficulty,your_notes
train_1011,has_context,"স্থানীয় সরকার (ইউনিয়ন পরিষদ) আইন, ২০০৯-এর ধারা ৬৮-এর বিষয় কর সংগ্রহ ও আদায়, ইত্যাদি।","স্থানীয় সরকার (ইউনিয়ন পরিষদ) আইন, ২০০৯-এর ধারা ৬৮-এর বিষয় কী?","কর সংগ্রহ ও আদায়, ইত্যাদি",correct,none,easy,
train_1012,no_context,,‘উৎ’ ও ‘যাপন’ শব্দ দুটির সন্ধিতে কোন শব্দ গঠিত হয়?,উৎযাপন,wrong,fabricated,hard,
train_1013,has_context,খাদিজা বিনতে খুওয়াইলিদ (Arabic: خديجة بنت خويلد‎) হলেন ইসলাম গ্রহণকারী প্রথম ব্যক্তি এবং এই মহাবিশ্বের সর্বশেষ নবী মুহাম্মদ (স.) এর প্রথম স্ত্রী।[1] তার কুনিয়া উম্মু হিন্দ এবং উপাধি তাহিরা। ইসলামের গ্রহণের আগেই পবিত্র চরিত্রের জন্য তাহিরা উপাধি লাভ করেন; যার অর্থ পবিত্র।[2],পাঠ্যাংশে “ইসলামের গ্রহণের আগেই পবিত্র চরিত্রের” কীভাবে বর্ণিত হয়েছে?,ইসলামের গ্রহণের আগেই পবিত্র চরিত্রের জন্য তাহিরা উপাধি লাভ করেন না; যার অর্থ পবিত্র।,wrong,,hard,
train_1014,has_context,নবাব মেজর খাজা হাসান আসকারি (২১ আগস্ট ১৯২১- ৯ আগস্ট ১৯৮৪) ঢাকার ষষ্ঠ ও শেষ নবাব ছিলেন। তিনি ঢাকার আহসান মঞ্জিলে জন্মগ্রহণ করেন। তিনি নবাব খাজা হাবিবুল্লাহ ও শাহরিয়ার বেগমের বড় সন্তান। ১৯৫৮ সালে বাবার মৃত্যুর পর তিনি নবাব হন।,পাঠ্যাংশ থেকে “তিনি নবাব খাজা হাবিবুল্লাহ শাহরিয়ার” সম্পর্কিত সঠিক তথ্যটি লিখুন।,তিনি নবাব খাজা হাবিবুল্লাহ ও শাহরিয়ার বেগমের বড় সন্তান।,correct,none,hard,
train_1015,has_context,"১৯৭৫ এর ১৫ আগস্ট সকাল ১০ টায় ঢাকা বিশ্ববিদ্যালয়ের আচার্য রাষ্ট্রপতি শেখ মুজিবুর রহমানের আনুষ্ঠানিকভাবে ঢাকা বিশ্ববিদ্যালয় পরিদর্শনের কথা ছিল, কিন্তু তার কয়েক ঘণ্টা পূর্বে শেখ মুজিবুর রহমান তার ৩২ নং ধানমন্ডি রোডের বাড়িতে সপরিবারে নিহত হন। খন্দকার মোশতাক আহমদের সরকার ১৯৭৫ এর ২৩ সেপ্টেম্বর ঢাকা বিশ্ববিদ্যালয়ের উপাচার্য অধ্যাপক ড. মতিন চৌধুরীকে অব্যহতি প্রদান করে। ১৯৭৫ এর ৭ নভেম্বর জেনারেল জিয়াউর রহমান প্রধান সামরিক প্রশাসক রুপে দায়িত্ব পালন করেন। ১৯৭৭ সালের ২১ ফেব্রুয়ারি জিয়াউর রহমান বাংলাদেশের রাষ্ট্রপতির দায়িত্ব গ্রহণ করেন।",জিয়াউর রহমান বাংলাদেশের রাষ্ট্রপতির দায়িত্ব কবে গ্রহণ করেন?,১৯৭৭ সালের ২১ ফেব্রুয়ারি,,,,
train_1016,no_context,,রামের ৫৭৭ টাকা ছিল। রাম ২৪৫ টাকাখরচ করল। রামের কত টাকা থাকলো?,166,wrong,fabricated,easy,
train_1017,no_context,,জবরদস্তি শ্রম নিষিদ্ধকরণের বিধান সংবিধানের কোন অনুচ্ছেদে আছে?,অনুচ্ছেদ ৩৬,wrong,,hard,
train_1018,no_context,,সালমানকে বাচ্চাদের পার্টির জন্য মুরগি ভাজাতে হবে। তিনি ২৪টি ড্রামস্টিক এবং তার থেকে ৪টি কম বুকের অংশ কিনেছিলেন। সালমান কতগুলি মুরগি ভাজতে পারবে?,৫৮,wrong,fabricated,easy,
train_1019,has_context,বাড়িতে প্রীতিলতা তার মাকে সীতাকুন্ড যাবার কথা বলেন।,আশ্রমে যাওয়ার আগে প্রীতিলতা তার মাকে কোথায় যাওয়ার কথা বলেছিলেন?,রাউজান।,wrong,,easy,
train_1020,no_context,,"একটি পোষা প্রাণীর দোকানে ২টি কুকুরছানা এবং কিছু বিড়ালছানা রয়েছে৷ একটি কুকুরছানা খরচ ৳২০, এবং একটি বিড়ালছানা খরচ ৳১৫. যদি স্টকের মূল্য ৳১০০ হয়, তাহলে পোষা প্রাণীর দোকানে কতগুলি বিড়ালছানা আছে?",৬,wrong,fabricated,easy,
train_1021,has_context,"পূর্ণিমার চলচ্চিত্রে আগমন জাকির হোসেন রাজু পরিচালিত এ জীবন তোমার আমার দিয়ে। চলচ্চিত্রটি মুক্তি পায় ১৯৯৭ সালে, তখন তিনি ক্লাস নাইনে পড়তেন। ২০০৩ সালে মুক্তি পায় তার সব থেকে সফল ছবি মতিউর রহমান পানু পরিচালিত মনের মাঝে তুমি। এটি বাংলাদেশ-ভারতের যৌথ প্রযোজনায় বাংলাদেশের সবথেকে সফল ছবির মধ্যে অন্যতম।[5] ২০০৪ সালে রাবেয়া খাতুনের উপন্যাস মেঘের পরে মেঘ অবলম্বনে চাষী নজরুল ইসলাম পরিচালিত মুক্তিযুদ্ধভিত্তিক ছায়াছবি মেঘের পরে মেঘ ছবিতে অভিনয় করেন।[6] এছাড়া কাজী নজরুল ইসলামের গল্প রাক্ষুসী নিয়ে নির্মিত চলচ্চিত্র রাক্ষুসী</i>তেও অন্যতম কেন্দ্রীয় চরিত্রে অভিনয় করেছেন। ২০০৫ সালে বিশ্বকবি রবীন্দ্রনাথ ঠাকুরের শাস্তি গল্প অবলম্বনে নির্মিত শাস্তি চলচ্চিত্র চন্দরা চরিত্রে অভিনয় করেন।[7]",অনুচ্ছেদে “এটি বাংলাদেশ ভারতের যৌথ প্রযোজনায়” প্রসঙ্গে কোন তথ্য উল্লেখ আছে?,এটি বাংলাদেশ-ভারতের যৌথ প্রযোজনায় বাংলাদেশের সবথেকে সফল ছবির মধ্যে অন্যতম নয়।,wrong,,hard,
train_1022,no_context,,'বয়োজ্যেষ্ঠ' শব্দের শুদ্ধ বিপরীত শব্দ কোনটি?,বিধর্মী,,,,
train_1023,has_context,হিব্রু বাইবেল (Hebrew Bible) বলতে ইহুদি ও খ্রিস্টানদের ধর্মীয় পুস্তকাবলীর সাধারণ অংশকে বোঝায়। পণ্ডিতেরা খ্রিস্টানদের পুরাতন বাইবেল (Old Testament) বা ইহুদিদের তানাখ (Tanakh) (যে গ্রন্থগুলো প্রকৃতপক্ষে একই) বোঝাতে গিয়ে এই পরিভাষাকেই নিরপেক্ষ মনে করে ব্যবহার করেন। হিব্রু বাইবেলকে ইহুদিরা তানাখ বলে থাকে। গ্রন্থটির তিনটি অংশের আদ্যক্ষরের সমন্বয়ে তানাখ শব্দটি গঠিত। ইসলাম ধর্মবিশ্বাসীগণ বিশ্বাস করেন মুসা (আঃ) এর উপর তাওরাত কিতাব নাজিল হয়। কিন্তু তারা তানাখকে তাওরাত কিতাব বলে স্বীকৃতি দেয় না।,অনুচ্ছেদের ভিত্তিতে “গ্রন্থটির তিনটি অংশের আদ্যক্ষরের সমন্বয়ে” বিষয়ে কোন বক্তব্যটি সঠিক?,গ্রন্থটির তিনটি অংশের আদ্যক্ষরের সমন্বয়ে তানাখ শব্দটি গঠিত।,correct,none,hard,
train_1024,has_context,"ইউনেস্কো ১৯৯৯ সালের ১৭ নভেম্বর বাংলা ভাষা আন্দোলন, মানুষের ভাষা এবং কৃষ্টির অধিকারের প্রতি সম্মান জানিয়ে ২১শে ফেব্রুয়ারিকে আন্তর্জাতিক মাতৃভাষা দিবস হিসেবে ঘোষণা করে যা বৈশ্বিক পর্যায়ে সাংবার্ষিকভাবে গভীর শ্রদ্ধা ও যথাযোগ্য মর্যাদার সাথে উদ্‌যাপন করা হয়।",ইউনেস্কো আন্তর্জাতিক মাতৃভাষা দিবস ঘোষণা করার সময় কোন বিষয়ের প্রতি সম্মান জানায়?,মানুষের ভাষা ও কৃষ্টির অধিখার,wrong,,hard,
train_1025,no_context,,তমাল একটি গাছ লাগান যা ১ বছর বয়সী এবং ৫ ফুট লম্বা। এটি প্রতি বছর ৩ ফুট বৃদ্ধি পায়। ২৩ ফুট লম্বা হলে এর বয়স কত?,৯,wrong,fabricated,easy,
train_1026,has_context,"পেপ্যাল মোবাইলের উদ্বোধন করা, যেখানে ব্যবহারকারীরা তাদের মোবাইল ফোনে ক্ষূদেবার্তা প্রেরণের মাধ্যমে অর্থপ্রেরণ করতে পারবেন।",পেপ্যাল মোবাইলের মাধ্যমে ব্যবহারকারীরা কীভাবে অর্থ প্রেরণ করতে পারতেন?,ভয়েস কলের মাধ্যমে,,,,
train_1027,no_context,,বঙ্কিমচন্দ্র চট্টোপাধ্যায় কোথায় জন্মগ্রহণ করেন?,উত্তর চব্বিশ পরগনার কাঁঠালপাড়া গ্রামে,correct,none,easy,
train_1028,no_context,,ইনস্টাগ্রাম কত সালে চালু হয়?,২০ জুলাই ১৯৬৯ সালে,wrong,fabricated,easy,
train_1029,has_context,মোগল সম্রাট হুমায়ুন গৌড় জয় করার পর এর প্রাকৃতিক সৌন্দর্য ও ঐশ্বর্যে মুগ্ধ হয়ে বাংলার নাম দেন ‘জান্নাতাবাদ’। তিনি সেখানে প্রায় ছয় মাস অবস্থান করেছিলেন।,গৌড় জয়ের পর হুমায়ুন সেখানে কতদিন অবস্থান করেছিলেন?,প্রায় এক বছর।,wrong,,hard,
train_1030,has_context,% জনসংখ্যা ৪৪.০০ ৫৬.০০,সারণী অনুযায়ী পশ্চিম পাকিস্তানের জনসংখ্যা শতাংশ কত ছিল?,৪০.০০%,wrong,numeric,hard,
train_1031,no_context,,'নির্জীব' শব্দের শুদ্ধ বিপরীত শব্দ কোনটি?,সজীব,correct,none,easy,
train_1032,has_context,"অ্যান্ড্রু হাওয়ার্ড ওয়েস্টার্ন (জন্ম ১৮ মার্চ ১৮৮৫) লেবার পার্টির একজন ব্রিটিশ রাজনীতিবিদ যিনি ২০২২ সালের উপ-নির্বাচনে স্ট্রেটফোর্ড এবং উর্মস্টনের জন্য সংসদ সদস্য (এমপি) নির্বাচিত হন। তিনি ২০১৮ সাল থেকে ট্র্যাফোর্ড কাউন্সিলের নেতা ছিলেন, একটি পদ তিনি সংসদে নির্বাচন করার পরে খালি করেছিলেন।",পাঠ্যাংশ থেকে “অ্যান্ড্রু হাওয়ার্ড ওয়েস্টার্ন জন্ম ১৮” সম্পর্কিত সঠিক তথ্যটি লিখুন।,অ্যান্ড্রু হাওয়ার্ড ওয়েস্টার্ন (জন্ম ১৯ মার্চ ১৮৮৫) লেবার পার্টির একজন ব্রিটিশ রাজনীতিবিদ যিনি ২০২২ সালের উপ-নির্বাচনে স্ট্রেটফোর্ড এবং উর্মস্টনের জন্য সংসদ সদস্য (এমপি) নির্বাচিত হন।,wrong,numeric,hard,
train_1033,has_context,"স্থানীয় সরকার (ইউনিয়ন পরিষদ) আইন, ২০০৯-এর ধারা ৭৮-এর বিষয় তথ্য প্রাপ্তির অধিকার।","স্থানীয় সরকার (ইউনিয়ন পরিষদ) আইন, ২০০৯-এর ধারা ৭৮-এর বিষয় কী?",তথ্য সরবরাহের পদ্ধতি,wrong,,easy,
train_1034,has_context,শিলা ক্যাপ্টেন হেলাল ভোলাগঞ্জ লেফটেন্যান্ট তাহের উদ্দিন আখঞ্জী,৫ নম্বর সেক্টরের শিলা উপ-সেক্টরের কমান্ডার কে ছিলেন?,লেফটেন্যান্ট তাহের উদ্দিন আখঞ্জী,wrong,,easy,
train_1035,has_context,"ধীরেন্দ্রনাথ দত্ত (২রা নভেম্বর, ১৮৮৬ - ২৯শে মার্চ, ১৯৭১)[১] একজন বাঙালি আইনজীবী, সমাজকর্মী ও ভাষা সৈনিক।",ধীরেন্দ্রনাথ দত্তের জন্ম ও মৃত্যু তারিখ কী?,৫ নভেম্বর ১৮৮৪ - ২৯ মার্চ ১৯৭১,wrong,numeric,hard,
train_1036,has_context,"শচীন রমেশ টেন্ডুলকর (বিকল্প প্রতিবর্ণীকরণ: শচীন টেন্ডুলকার, শচিন টেন্ডুলকার) (/səˈtʃɪn tɛnˈduːlkər/(listen)) (Marathi: सचिन तेंडुलकर; জন্ম এপ্রিল ২৪, ১৯৭৩) একজন প্রাক্তন ভারতীয় ক্রিকেটার, ক্রিকেট ইতিহাসের সর্বোচ্চমানের ব্যাটসম্যান হিসেবে বিশ্বব্যাপী স্বীকৃত।[1][2] শচীনের মাত্র ষোলো বছর বয়সে পাকিস্তানের বিরুদ্ধে টেস্ট ক্রিকেটে অভিষেক হয় এবং এরপর থেকে প্রায় চব্বিশ বছর তিনি আন্তর্জাতিক স্তরে ভারতের হয়ে ক্রিকেট খেলেন। তিনি টেস্ট ক্রিকেট ও একদিনের আন্তর্জাতিক ক্রিকেট খেলায় সর্বোচ্চসংখ্যক শতকের অধিকারীসহ বেশ কিছু বিশ্বরেকর্ড ধারণ করে আছেন। তিনি প্রথম ক্রিকেটার হিসেবে একদিনের আন্তর্জাতিক ক্রিকেট খেলা ও টেস্ট ক্রিকেট ম্যাচ মিলিয়ে শততম শতক করেন। বাংলাদেশের বিপক্ষে ২০১২ সালের এশিয়া কাপ চারদেশীয় ক্রিকেট ম্যাচে তিনি এই রেকর্ড করেন।[3] একদিনের আন্তর্জাতিক ক্রিকেট খেলার ইতিহাসে প্রথম দ্বি-শতরানের মালিক তিনি।[4][5][6][7] ২০১৩ খ্রিষ্টাব্দের ৫ই অক্টোবর, তিনি সমস্ত ধরণের স্বীকৃত ক্রিকেট খেলায় প্রথম ভারতীয় হিসেবে মোট ৫০,০০০ রানের মালিক হন।[8][9][10]",শচীন তেন্ডুলকর কবে জন্মগ্রহণ করেন ?,"এপ্রিল ২৪, ১৯৭৩",wrong,,easy,
train_1037,no_context,,সভ্যতার অন্যতম প্রতিচ্ছবি হলাে-,রাষ্ট্র,wrong,fabricated,easy,
train_1038,no_context,,আরও দেখুন Politics Dictionaries & Encyclopedias Science My Ads ৩৮। “কৃষ্টি” শব্দের সঠিক সন্ধি বিচ্ছেদ –,কৃষ্ + তি,correct,none,hard,
train_1039,has_context,আরবি ভাষা কাতারের সরকারি ভাষা। এখানকার প্রায় ৫৬% লোক আরবি ভাষাতে কথা বলেন। প্রায় এক-চতুর্থাংশ লোক ফার্সি ভাষায় কথা বলেন। বাকীরা ভারতীয় উপমহাদেশের ও ফিলিপিন দ্বীপপুঞ্জের অন্যান্য ভাষাতে কথা বলেন। আন্তর্জাতিক কাজকর্মে ইংরেজি ভাষা ব্যবহার করা হয়।,অনুচ্ছেদে “বাকীরা ভারতীয় উপমহাদেশের ফিলিপিন দ্বীপপুঞ্জের” প্রসঙ্গে কোন তথ্য উল্লেখ আছে?,বাকীরা ভারতীয় উপমহাদেশের ও ফিলিপিন দ্বীপপুঞ্জের অন্যান্য ভাষাতে কথা বলেন।,correct,none,hard,
train_1040,has_context,নীলচাষ যে নানাবিধ নির্যাতনের সঙ্গে জড়িত একথা ‘নীল কমিশনের’ রিপোর্টে প্রথমবারের মতো স্বীকৃত হয়।,প্রদত্ত প্রসঙ্গ অনুযায়ী নীল কমিশন সম্পর্কে কী তথ্য দেওয়া হয়েছে?,নীলচাষ যে নানাবিধ নির্যাতনের সঙ্গে জড়িত একথা ‘নীল কমিশনের’ রিপোর্টে প্রথমবারের মতো স্বীকৃত হয় না।,wrong,,hard,
train_1041,has_context,"শোকাবহ এ ঘটনার অভিঘাতে সমগ্র প্রদেশে তীব্র ক্ষোভ ছড়িয়ে পড়ে। ২২শে ও ২৩শে ফেব্রুয়ারি ছাত্র, শ্রমিক, সাহিত্যিক, বুদ্ধিজীবী, শিক্ষক ও সাধারণ জনতা পূর্ণ হরতাল পালন করে এবং সভা-শোভাযাত্রাসহ ১৪৪ ধারা ভঙ্গ করে। ২২শে ফেব্রুয়ারি পুলিশের গুলিতেও মানুষ মারা যায়।",ভাষা আন্দোলনের প্রতিক্রিয়ায় সমগ্র প্রদেশে কী ছড়িয়ে পড়ে?,তীব্র ক্ষোভ,correct,none,hard,
train_1042,has_context,যতদিন বাংলাদেশের স্বাধীনতা যুদ্ধ চলেছে ততদিন মুজিবনগর সরকার পরিচালনার অন্তর্বর্তীকালীন সংবিধান বা ক্রান্তিকালীন বিধান হিসেবে এই ঘোষণাপত্র কার্যকর ছিল। ১৯৭১ সালের ১৬ ডিসেম্বর স্বাধীন বাংলাদেশ শত্রুমুক্ত হওয়ার পরও এই ঘোষণাপত্র নবপ্রতিষ্ঠ দেশের সংবিধান হিসেবে কার্যকর ছিল।,কোন তারিখে স্বাধীন বাংলাদেশ শত্রুমুক্ত হয়?,১৬ ডিসেম্বর ১৯৭১,correct,none,easy,
train_1043,no_context,,"""গুলি মারা"" এর ভাবার্থ কী?",গুরুত্ব না দেওয়া,correct,none,easy,
train_1044,has_context,"দাবিসমূহ: বিশ্বব্যাপী তাপমাত্রা বৃদ্ধি ১.৫ ডিগ্রি সেলসিয়াসের নিচে রাখা, প্যারিস চুক্তি মেনে চলা এবং জলবায়ু পরিবর্তন মোকাবিলায় বিজ্ঞানীদের পরামর্শ অনুযায়ী পদক্ষেপ নেওয়ার দাবি জানানো হয়।",ফ্রাইডে ফর ফিউচার আন্দোলন তাপমাত্রা সীমা ও প্যারিস চুক্তি ছাড়াও আর কী দাবি জানায়?,জলবায়ু পরিবর্তন মোকাবিলায় বিজ্ঞানীদের পরামর্শ অনুযায়ী পদক্ষেপ নেওয়ার দাবি।,correct,none,easy,
train_1045,no_context,,বাংলাদেশের জাতীয় দিবস কোনটি?,১৬ ডিসেম্বর,,,,
train_1046,no_context,,POP মানে কোনটি?,সুপার কম্পিউটার,wrong,fabricated,easy,
train_1047,has_context,বৈদ্যনাথতলা তখন ছিল পূর্ব পাকিস্তানের সীমানার অভ্যন্তরে একটি শত্রুমুক্ত এলাকা।,১৭ এপ্রিলের অনুষ্ঠানের সময় বৈদ্যনাথতলা কেমন এলাকা ছিল?,পূর্ব পাকিস্তানের সীমানার অভ্যন্তরে একটি শত্রুমুক্ত এলাকা,correct,none,easy,
train_1048,has_context,অতএব এটা নিশ্চিতভাবে বলা যায় যে বঙ্গভঙ্গ ও তার রদকে কেন্দ্র করেই ব্রিটিশ ভারতে মুসলিম জাতীয়তাবাদের জন্ম হয়। [হেলাল উদ্দিন আহমেদ],এই নিবন্ধের রচয়িতা হিসেবে কার নাম উল্লেখ আছে?,সিরাজুল ইসলাম,wrong,,easy,
train_1049,has_context,উচ্চকক্ষের কাজকর্মে গতির সঞ্চার করতে চেয়ারম্যান সদস্যদের উদ্দেশ্যে ১০টি পরামর্শ দেন।,প্রদত্ত প্রসঙ্গ অনুযায়ী ভারতীয় রাষ্ট্রব্যবস্থায় রাজ্যসভার ভূমিকা সম্পর্কে কী তথ্য দেওয়া হয়েছে?,উচ্চকক্ষের কাজকর্মে গতির সঞ্চার করতে চেয়ারম্যান সদস্যদের উদ্দেশ্যে ১১টি পরামর্শ দেন।,,,,
train_1050,has_context,একে বরেন্দ্র বিদ্রোহ নামেও অভিহিত করা হয়ে থাকে।,কৈবর্ত বিদ্রোহকে আর কী নামে অভিহিত করা হয়?,গৌড় বিদ্রোহ।,wrong,,hard,
train_1051,has_context,মিশরের প্রথম রাজবংশের ফারাওদের অধীনেই মিশর প্রথম একটি ঐক্যবদ্ধ রাজ্য হিসেবে আত্মপ্রকাশ করে। শুরুর দিকে এর প্রশাসনিক কেন্দ্র ছিল থিনিস।[1] দ্বিতীয় রাজবংশের সাথে একত্রে প্রথম রাজবংশের শাসনকালকে মিশরের আদি রাজত্ব হিসেবে সাধারণভাবে গণ্য করা হয়ে থাকে।,মিশরের প্রথম রাজবংশের নাম কী ?,ফারাও,correct,none,hard,
train_1052,no_context,,"""সাতসতেরো"" এর ভাবার্থ কী?",সকলেই একই স্বভাবের,wrong,fabricated,easy,
train_1053,has_context,'আলো-অন্ধকার' শব্দটির ব্যাসবাক্য হলো: আলো ও অন্ধকার।,"ব্যাসবাক্য অনুযায়ী, 'আলো-অন্ধকার' শব্দটি কোন সমাসের উদাহরণ?",দ্বন্দ্ব,,,,
